m0,fill,hw56,min_hw,p10_hw,mean_hw
224,0,40,16,34,39.967098236083984
612,0,33,18,34,40.02130126953125
1019,170,30,19,34,39.93090057373047
1,511,34,19,34,39.987701416015625
139,240,29,19,34,40.00130081176758
383,512,40,19,34,40.02920150756836
152,512,35,19,34,40.038299560546875
704,240,35,20,34,39.93069839477539
415,511,44,20,34,39.935699462890625
226,204,33,20,34,39.959800720214844
