record,candidate_id,input_hw,rounds,start_hw,best_hw,improvement,best_m2,best_state_diff
1,bit13_m916a56aa,35,24,141,101,40,"0x00020000,0x00000000,0x00000000,0x08008000,0x00000000,0x00000000,0x00000000,0x40000010,0x00000000,0x00000000,0x00008000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000","0x6a41206b,0x53588df3,0x23560220,0x69013627,0x99368612,0xb1890c00,0xe481a4a5,0x3632b985"
2,bit13_m916a56aa,36,24,133,102,31,"0x02000000,0x00001000,0x00000010,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00200001,0x00000000,0x00000000,0x00000000,0x00000000,0x00000002","0x45ecb407,0xe4072792,0x2450e873,0x1d456920,0x7c002465,0x101258f3,0x8ae52866,0x464c8590"
3,bit13_m916a56aa,38,24,139,103,36,"0x00040000,0x00000000,0x00000000,0x00040000,0x00000000,0x00000000,0x00800000,0x00800000,0x00000000,0x00100080,0x00000000,0x00800400,0x00000000,0x00080000,0x00000000,0x00000000","0x0c225b38,0x98c86138,0x8848a0ad,0x7d4c8f14,0x2311864a,0x13f51061,0xcd2b4324,0x5b22188f"
4,bit13_m916a56aa,38,24,126,101,25,"0x00000000,0x20000000,0x00400000,0x00000000,0x00000000,0x00000000,0x02000080,0x00000001,0x00000000,0x00000000,0x00000000,0x00000000,0x00000240,0x00010000,0x00000000,0x00000000","0x91922192,0xea17ca84,0x6ae6d26f,0x8841a26e,0x68471ce2,0x84258222,0x02045402,0xe33920f1"
5,bit13_m916a56aa,39,24,121,97,24,"0x00000000,0x04000000,0x00000000,0x00000000,0x00000200,0x00000000,0x00000200,0x00020000,0x00000000,0x00000000,0x00000000,0x10000000,0x00000000,0x01000000,0x00000020,0x00000000","0x4a853109,0x82e42332,0xa83587be,0x2030508d,0x5440a710,0x02f1500a,0x929142a4,0x801fa6f7"
6,bit13_m916a56aa,39,24,139,97,42,"0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x01000000,0x00000000,0x00080000,0x80000000,0x00000000,0x00000000,0x00000000,0x00000000,0x04000000,0x00000004","0xe04c6b0c,0x5464a31e,0x149aac0a,0x226fb042,0x810c3508,0xc8365722,0x2822311d,0x0d4116a8"
7,bit13_m916a56aa,40,24,122,101,21,"0x00400000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00001000,0x00000000,0x00000000,0x00000000,0x00000008,0x00000000,0x00000000,0x00001000,0x02000402","0x68161004,0x4e69039a,0x430a0aa2,0x4f3a8469,0x016e034f,0x069336b8,0x224c18d5,0xd98223ce"
8,bit13_m916a56aa,40,24,135,98,37,"0x00000000,0x00000000,0x00000000,0x00000000,0x00000040,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x80000000,0x00000000,0x00000000,0x04000100,0x00000000,0x00000000","0xd889129d,0x6271861e,0x03d0b1f2,0x820434aa,0x019a0455,0xcb4410c6,0xc192283b,0x001472f2"
9,bit13_m916a56aa,40,24,131,99,32,"0x00000002,0x00000000,0x00000000,0x00000002,0x00000000,0x00002000,0x00000000,0x02000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000","0x110f7d39,0x9031499f,0x18f84882,0x451e21ae,0x66098874,0x07000d46,0xf2800f0b,0xa8c1c003"
10,bit13_m916a56aa,40,24,124,98,26,"0x00000000,0x10000000,0x00000000,0x00000040,0x00200000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x04000000,0x00000020,0x00000000,0x00000000,0x00000000,0x00000800","0x9d74ea5d,0x52120052,0x1214c281,0x42a3c055,0xda1838d6,0x0e2080e8,0x52651e91,0x242da6a0"
11,bit13_m916a56aa,40,24,138,103,35,"0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x04010000,0x00000000,0x00001000,0x00020000,0x00000000,0x00000000,0x00014000,0x00008000,0x10000000,0x00088000,0x80000000","0xb961f06b,0xa123db04,0x4f248d2b,0xd9ba034c,0x64b08103,0x1bc50c2d,0x280a10ac,0x021234d8"
12,bit13_m916a56aa,40,24,132,103,29,"0x10000002,0x00000000,0x00000000,0x00000000,0x00000000,0x80000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000020,0x28000000,0x00000000","0x482022c2,0x4de1c4ce,0x090cec33,0x688d1d10,0xad391468,0x4f00640d,0x94210b51,0x46dfa553"
13,bit13_m916a56aa,40,24,125,100,25,"0x00000000,0x00000000,0x00000000,0x00000000,0x00000800,0x00080000,0x00000000,0x00008000,0x00200100,0x00000000,0x00000000,0x04000000,0x00000800,0x00000000,0x00000000,0x00000000","0xebd00750,0xec714004,0xa03465b4,0xd7a12185,0x18b4c261,0x06404eaf,0x42b201e2,0x41ec1123"
14,bit13_m916a56aa,41,24,138,93,45,"0x00000002,0x00220000,0x00020000,0x00000004,0x00000000,0x00000000,0x21000000,0x00800000,0x08000000,0x00000000,0x00000000,0x00000000,0x00008800,0x00000200,0x00000000,0x00000000","0x0083bd8c,0xaad414df,0x00300078,0xd2247c49,0xa142110b,0xe1489a11,0x1059a501,0x052ca670"
15,bit13_m916a56aa,41,24,133,104,29,"0x00000020,0x01000201,0x00000000,0x00000000,0x00000400,0x00000000,0x00000000,0x00100000,0x00400000,0x00000400,0x00040000,0x40400000,0x00010000,0x00000000,0x00000000,0x00000001","0x03305381,0x25c62030,0xfc00d109,0x1799b6fb,0x40e90b10,0x0f535284,0x1181eba9,0x2eb0a5ca"
16,bit13_m916a56aa,41,24,127,99,28,"0x00020000,0x00000021,0x00008000,0x00000040,0x08800000,0x04000000,0x21000040,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00140000,0x00000000,0x00000000","0x021b2081,0xf0ab4008,0x6604af5f,0x0acc0327,0xe202a370,0x2a140f67,0x2305b2a6,0xd0a11362"
17,bit13_m916a56aa,41,24,124,101,23,"0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00010000,0x00000000,0x00000001,0x00200000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000","0x00060430,0x8385e49c,0xa46371d1,0x025c2c68,0xa198a989,0x0a688c13,0xb291aecb,0x4de4d628"
18,bit13_m916a56aa,41,24,124,100,24,"0x00000010,0x00000000,0x08000000,0x00080000,0x00000000,0x20000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00082000,0x00000000,0x00100000,0x01020000,0x00000000,0x00040000","0x2219f27f,0x04c0c026,0x1c9a1104,0x8932b644,0x198f870a,0x218d0d59,0x1459842a,0x53621b83"
19,bit13_m916a56aa,41,24,125,101,24,"0x00000000,0x00000000,0x00000000,0x01000000,0x00040000,0x00000200,0x00000000,0x20000000,0x00000000,0x00800000,0x00000000,0x00000000,0x80000000,0x00000000,0x04000000,0x00000400","0x2101a672,0x64ee910e,0x1c120268,0xa9047d26,0x1382fe11,0xa1b1a620,0xb0c84c5a,0x0f836138"
