record,candidate_id,input_hw,rounds,start_hw,best_hw,improvement,best_m2,best_state_diff
1,bit13_m916a56aa,35,12,134,89,45,"0x00000000,0x80800000,0x00000000,0x01000000,0x00020000,0x00000000,0x00040000,0x00000000,0x00000000,0x00100000,0x20008034,0x1c1300c0,0x32dde19c,0x137ab6a6,0x9b29ebb8,0xe48e054a","0x01080040,0x0ac30214,0x5b40df80,0x14e939dc,0x2c24c810,0x47882b84,0xd40d7544,0x3200b46b"
2,bit13_m916a56aa,36,12,135,89,46,"0x00000000,0x00001002,0x00000000,0x00000000,0x00000000,0x00000000,0x00004000,0x00000000,0x00002010,0x04001000,0x01230000,0xa4a0a8a3,0x76aedc6d,0x0ced0c4f,0x42c164e2,0xd4965f78","0x00236401,0x34829c01,0x8e5ae032,0x15141acf,0x10800084,0x5584e462,0x510d04af,0x44e71878"
3,bit13_m916a56aa,38,12,129,86,43,"0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x20800000,0x00080000,0x50000400,0x00020000,0x418a8fcf,0xfa5759fb,0x24d3c429,0x889af1ea,0xf4475611","0x82202100,0xb9504566,0x737592b5,0xe1356812,0x04080008,0x91244880,0x1877073c,0x010ea60a"
4,bit13_m916a56aa,38,12,122,86,36,"0x00000000,0x00000080,0x00800000,0x00000000,0x00000000,0x08000000,0x00000000,0x00000000,0x00040000,0x00000000,0x48048002,0x4d23676e,0x562fa72b,0x104970b3,0x1bf99bc6,0x5b4605b3","0x305a0180,0x060073c0,0xd00d16c6,0x6037a050,0x00010420,0x689068d8,0x82bf315f,0x428d189c"
5,bit13_m916a56aa,39,12,130,90,40,"0x00000000,0x00000000,0x00008000,0x00060000,0x00000200,0x00000000,0x00000020,0x00000000,0x00000000,0x80000200,0x0000004c,0xa0c43707,0xff961331,0xfae13908,0x635666c0,0x28d172a0","0x58221201,0x01442089,0x39e3958d,0x86dbfea9,0x029088a2,0x24300451,0x0f1807ca,0x40027b40"
6,bit13_m916a56aa,39,12,148,90,58,"0x00000000,0x00010000,0x00000000,0x00000000,0x00000000,0x00002000,0x01000000,0x00200000,0x00000000,0x00000000,0x20420000,0x7f8384d7,0x9eb7f085,0x09a58981,0x1a5ad7e7,0x76611981","0x08002822,0x34821b00,0x2e0405c3,0x02bc8383,0x71248004,0x923a09b9,0xd258f809,0x29f0eb5a"
7,bit13_m916a56aa,40,12,136,97,39,"0x00000000,0x00000008,0x00000000,0x00000000,0x00000000,0x00000000,0x00001000,0x00004000,0x00000020,0x00000000,0x10000020,0x5a219017,0x5674f239,0x05b612c6,0x632e606c,0x8c0175f6","0x10001000,0xa134831a,0x9803e10a,0x07eae412,0x42252232,0x1533bad5,0xb08a8233,0xcf54f5c3"
8,bit13_m916a56aa,40,12,130,93,37,"0x00000000,0x00004820,0x00000000,0x00200000,0x00000000,0x00000400,0x00000000,0x00000000,0x00000000,0x12020000,0x80104804,0xd2644b26,0xd3657883,0xf8181d52,0xa311c3e0,0x927caecd","0xa4000085,0x2705d713,0x413a9ed6,0x521c907a,0x01004200,0x36080e07,0x512d3c08,0x7a87654e"
9,bit13_m916a56aa,40,12,120,90,30,"0x00000000,0x00000000,0x00000040,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x10000000,0x09080006,0x9a026ffe,0xdbe7b61b,0x5489e143,0xe44d2476,0x43c9cdfa","0x00204408,0x94812c85,0x5849a602,0x762215a2,0x19101100,0x15792e80,0xc7e899ea,0xe6a38225"
10,bit13_m916a56aa,40,12,130,77,53,"0x05001000,0x00000000,0x00000000,0x00000002,0x00000000,0x00000000,0x00000000,0x00000000,0x00081000,0x00048000,0x40242410,0xcc62249c,0xd2060485,0x027596e9,0x3d76334e,0x60b67833","0x8800000d,0x82a41c15,0x1e04d888,0x5a5a6699,0x00884400,0x50e00000,0x02461a98,0xaeb04e52"
11,bit13_m916a56aa,40,12,124,75,49,"0x00000000,0x00000040,0x08000000,0x00000000,0x00000000,0x00200000,0x00000000,0x00000000,0x00000000,0x40004000,0xa4808016,0x153e61ca,0xccc5a926,0x65dbd82f,0xa46dc86a,0x2ffadf9c","0x408b0009,0x400889bd,0xeed0c842,0x9466a0a1,0x08200800,0x081a5080,0xf821da81,0x82060c04"
12,bit13_m916a56aa,40,12,128,87,41,"0x10000000,0x00000000,0x00000000,0x02000000,0x12000000,0x00800000,0x00000000,0x00000024,0x00800002,0x00000000,0x00000010,0xeb108ad4,0xb7fc9fb7,0x89f54e04,0x87e21ce8,0x749f9364","0x48001060,0x2168dabf,0x0fa0a071,0x4fc30c12,0x20051208,0x40ce4019,0xa038c953,0x230b0163"
13,bit13_m916a56aa,40,12,132,78,54,"0x00000000,0x00000000,0x00000010,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00800000,0x00000904,0xc0020100,0xba0b58a2,0xb0aa91ee,0x431f50b6,0xaa0edb65,0xc1e52a2a","0x30080802,0x14164459,0x104c4a00,0x6c96589a,0x4200c020,0x01a06a69,0x4260d681,0x2c147f80"
14,bit13_m916a56aa,41,12,124,86,38,"0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000002,0x00000000,0x00000000,0x0c800010,0x00001000,0x00002201,0x68049814,0xa51edded,0x20cf73ae,0x8e1805d8,0xb34c38ef","0x80234800,0x08461cf7,0x70113cbb,0x5341c103,0x00200404,0x13829a8b,0x7c90e050,0xaa880a35"
15,bit13_m916a56aa,41,12,141,89,52,"0x00000000,0x00000002,0xa0000000,0x00000080,0x00000001,0x00004000,0x00000000,0x00000000,0x00000000,0x00400400,0x88090400,0x90640220,0xfcb465f1,0xaa9e8e69,0x720c8338,0x1c105327","0x80000084,0xef8d1214,0xc4c03fb6,0xe5333d19,0x00904440,0x820a78c9,0x6461c0a0,0x10322acc"
16,bit13_m916a56aa,41,12,124,85,39,"0x00000000,0x00000000,0x00000000,0x00000000,0x00200000,0x00000000,0x00000000,0x00000000,0x00002040,0x00000004,0x28002600,0xa424a846,0x3a4856bb,0x80a35cf3,0xccc55aea,0x257b9e76","0x120a0001,0x49c8a484,0x1e4c580c,0xc221ca1b,0x4000084c,0x14a03298,0x3cd0f450,0x238b3399"
17,bit13_m916a56aa,41,12,120,93,27,"0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x20000001,0x49210000,0xa1c3a44c,0xbba65865,0x33b14f3b,0xa2fbd0ea,0x9fd0451e","0x69201200,0x29990092,0xc7c81c7c,0x7a261a85,0x040a0040,0x1ba06498,0xb5b2d44d,0xd0c54698"
18,bit13_m916a56aa,41,12,131,81,50,"0x00000000,0x00000008,0x08001000,0x00000000,0x00000080,0x00000002,0x00000000,0x00000000,0x00000048,0x00000000,0x00009801,0x7a2629c7,0xd381886c,0x2ab8c8a2,0xd41d3861,0xfc7773fa","0x00228426,0x00502b94,0x687642cc,0x1c338402,0x08800280,0x30330418,0x4d620d09,0x73af2262"
19,bit13_m916a56aa,41,12,118,87,31,"0x00000100,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000004,0x04040400,0x346cfeb8,0x13e26164,0xa1d7ecf3,0x42b6e1e2,0x4ea7c7bf","0x6a028090,0x060c115d,0xf6cc5818,0x8424364e,0x00a00800,0x0ff9aa93,0x2f842408,0x76c14100"
20,bit13_m916a56aa,41,12,142,81,61,"0x00000010,0x00000000,0x00000020,0x00000000,0x00000000,0x40000000,0x00000040,0x00000000,0x00000000,0x00002000,0x20006400,0x6313a621,0xc2fe9f19,0xaa78c553,0x8200a56b,0xee8ca5ae","0x48060030,0xba416c42,0x3e9185bc,0x92b0a4a1,0x20804400,0x12496822,0x2a513091,0x42389012"
21,bit13_m916a56aa,41,12,136,87,49,"0x00000000,0x00000200,0x00000000,0x00000000,0x00000040,0x00000000,0x01000000,0x00000000,0x00000000,0x00000000,0x41140000,0x6902e500,0xd7de3c07,0x2ed02082,0x2ad65693,0xc5b711e8","0x68010480,0x6a8060dc,0xc46225c8,0x60027a07,0x02002222,0x84400316,0x0c4eb97e,0xb98ec316"
22,bit13_m916a56aa,41,12,118,92,26,"0x00000000,0x00000000,0x80000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x01804310,0xf97f8e04,0x9091e78c,0xa277e7e9,0xa54bae47,0xefd0874d","0x040088a9,0x67829fc0,0xcd09c57c,0x097072b2,0x50080400,0xe22a009f,0x14119121,0xcd295607"
23,bit13_m916a56aa,41,12,135,84,51,"0x00000000,0x00000010,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x10008000,0x08000000,0x00000000,0x00109045,0x31b066ec,0x1b153d4e,0x5afa7102,0xd82783e3,0x98cd6c73","0x69095200,0x9c110009,0xbb0a8808,0x81cc60ad,0x00840010,0x53010164,0x5fb42301,0xef0e1e0b"
24,bit13_m916a56aa,41,12,128,87,41,"0x00100040,0x04001000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00200000,0x00004000,0x00000000,0x01060040,0xdc002f47,0xbec3b51d,0xca446800,0xf823b591,0xce15717b","0x00011004,0x810d982d,0x1180a311,0xc413786b,0x80820812,0x3213b480,0xd24e3042,0xe8bd79a5"
25,bit13_m916a56aa,41,12,132,91,41,"0x00000000,0x00000000,0x00000000,0x00000002,0x00000000,0x00004000,0x00000000,0x00000010,0x08000000,0x10000000,0x00801000,0xa0fa1d83,0x7b91cc36,0x90655905,0x3918d23b,0xcc04ca04","0x14821020,0x620a5dc0,0x90a21c8e,0x69f012e4,0x20212080,0x193e5485,0x3f81316d,0x68664885"
26,bit13_m916a56aa,41,12,132,85,47,"0x40000000,0x00000000,0x00800000,0x00000000,0x08000000,0x00000000,0x00000001,0x00000000,0x00000000,0x00800000,0x21080404,0xa4ab5b15,0xe043853f,0x408c0d03,0xb95bbcc5,0xf9070e6f","0x42242100,0x4152ab06,0x16205ba0,0x77e82078,0x02009023,0x14626614,0x2818bf00,0x1936109d"
27,bit13_m916a56aa,41,12,129,88,41,"0x20000000,0x00000000,0x00200000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x10010100,0x00012508,0xb3f047a2,0x31f8703e,0x3f681f0d,0x26af2edf,0xc39d1a24","0x09080200,0xa9845c09,0x6681d5a4,0x72bbe8cc,0x2020a430,0xac014a34,0x800c90db,0x01f11017"
28,bit13_m916a56aa,42,12,130,89,41,"0x00000000,0x00000000,0x00000000,0x00000000,0x00004020,0x00000000,0x00000000,0x00000004,0x00000020,0x00000088,0x28120000,0x40db17b3,0x772be6a5,0x3e5b0ac4,0xacc4fb6f,0xbbec7c14","0x01028080,0xce031a49,0x74101d86,0x4c885520,0x60403400,0xef711e38,0xaa316a1c,0x22be0528"
29,bit13_m916a56aa,42,12,123,88,35,"0x01000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00400000,0x00000000,0x00000000,0x00000000,0x00000000,0x80048000,0x00bcf314,0x2072c1fc,0xc15f583c,0x1994e1fd,0x15d3f823","0x05000100,0xe1033a00,0x0cc54c93,0x6e994b08,0x404a9440,0x096a8b31,0xcb0e1709,0xf1280955"
30,bit13_m916a56aa,42,12,117,79,38,"0x00000000,0x10000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000080,0x00002000,0x00000041,0x8a61a4d5,0x4e03775e,0xb5950e78,0x6daa3303,0x9d273ea5","0x08002045,0xc2683c84,0xd2b2709c,0xd052a46d,0x84100800,0x01808905,0x20e02953,0x19131c03"
31,bit13_m916a56aa,42,12,119,91,28,"0x00000000,0x02000000,0x00000000,0x00001000,0x40080000,0x00000000,0x00000000,0x00000000,0x00000000,0x02000000,0x081b8000,0xf95a0e1e,0xb1508421,0x80fd55d6,0x743cf7c2,0xabb436a4","0x58028204,0x9048ec04,0x2c4d64b3,0x5503e9a8,0x02200802,0x0c14e917,0x4635089f,0x2942497b"
32,bit13_m916a56aa,42,12,129,96,33,"0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x08000000,0x00100000,0x00000000,0x00000000,0x040a0002,0x5c7a2001,0x03fa82ac,0xe2c4b809,0x56a300f9,0x36f79143","0x00811120,0x42bba092,0xcf43d785,0x114e58d6,0x42420009,0xc6148a84,0xc5598287,0x464dce64"
33,bit13_m916a56aa,42,12,130,82,48,"0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000800,0x00000000,0x00004000,0x00400000,0x00000000,0xc0200022,0x00044085,0x38e27f20,0x80184922,0xa35885ef,0xae9fb912","0x02240214,0x54e8542f,0x4430103a,0xa04ccb8d,0x20690420,0x61410715,0x48010328,0x12ee2071"
34,bit13_m916a56aa,42,12,124,85,39,"0x08000000,0x00000004,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00040000,0x00000000,0x00000000,0x00500001,0x38638ed8,0x6982031e,0x5d159e2d,0xa953ce23,0xf587c6d9","0xa0004810,0x3207e021,0x2eb31c40,0xb12c4fa0,0x128a2001,0x831a1080,0x41940141,0x4fef4c2e"
35,bit13_m916a56aa,42,12,128,80,48,"0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00010000,0x00000000,0x40104000,0x00000000,0x0384a410,0x3406c41c,0x70a78482,0xe965df0a,0xa0ef72fb,0xbff53b34","0x48222022,0x30899081,0x00a5429e,0x716aab20,0x01008488,0xd266a042,0x02bb0024,0xe49508d1"
36,bit13_m916a56aa,42,12,113,84,29,"0x00000000,0x00000000,0x20000000,0x00000400,0x00000000,0x00000000,0x00000000,0x00000000,0x00000040,0x00000000,0x21400002,0xb11842e1,0x1e7dbb6d,0xecfff94e,0x952264cc,0x8122686f","0x00414082,0x07217109,0x0205e411,0x66ccb35c,0x4824080c,0x422d2942,0xc6862e22,0x3e220642"
37,bit13_m916a56aa,42,12,120,90,30,"0x00001200,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x08840410,0x2568a772,0x6fa89d6e,0xb48dd2df,0xd80d3864,0x4d4728a8","0x00829000,0x2100831c,0x3821b542,0x947c91bc,0x60680a82,0x91253995,0x972b9182,0x44b1039b"
