record,candidate_id,input_hw,rounds,start_hw,best_hw,improvement,best_m2,best_state_diff
18,bit13_m916a56aa,41,16,122,90,32,"0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000820,0x00020000,0x00000000,0x00000000,0x00000020,0x00000000,0x00000000,0x282a2ceb","0x00280520,0x861d9803,0x90023035,0x0edb0009,0x2c822044,0x4549f158,0x79656cb3,0xa16281d6"
19,bit13_m916a56aa,41,16,121,82,39,"0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00100000,0x00000020,0x00400020,0x807710b8","0x00011000,0x087e444b,0xc7e8c186,0xd1ac931e,0x00208048,0x8015c102,0x8ed8c028,0x44c9118d"
20,bit13_m916a56aa,41,16,121,82,39,"0x00020000,0x00200000,0x00000000,0x00000020,0x00000000,0x00000000,0x00000000,0x00000400,0x00000000,0x00000000,0x00000000,0x00000000,0x00000040,0x00000000,0x48100008,0x23c8147e","0x04082549,0x2f08114c,0x3a0a81e9,0x5e499528,0x48002800,0x01076d00,0x060b314e,0x146110f2"
21,bit13_m916a56aa,41,16,129,78,51,"0x00000000,0x00000000,0x00000008,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000880,0x00000000,0x00000000,0x00000000,0x00040004,0x30100502,0x2f5147f4","0x20000200,0x088c2c2b,0x2cf48a60,0x8b0a9401,0x49014004,0x14004029,0x84e2a5da,0x58d74741"
22,bit13_m916a56aa,41,16,121,79,42,"0x00000000,0x00000000,0x00000000,0x00000100,0x00020000,0x00000000,0x00000000,0x00000000,0x00000002,0x00000400,0x00000000,0x00000008,0x00010000,0x00000000,0x04080000,0x8153d802","0x20008008,0x16a422e5,0x7716e952,0x08676510,0x80520100,0x0a038812,0x4cb248da,0x0098034c"
23,bit13_m916a56aa,41,16,141,85,56,"0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00004000,0x80001080,0x00200000,0x44000440,0xb41b0497","0x06010010,0x1f582a50,0xae222008,0x33da1b26,0x0010c400,0xb0578114,0xc131362b,0x9602f186"
24,bit13_m916a56aa,41,16,130,86,44,"0x00000000,0x00000000,0x00000000,0x00000800,0x00000000,0x80000000,0x00001000,0x00000400,0x00000000,0x00010000,0x00000000,0x00000000,0x00000200,0x10020000,0xa0000102,0xc0e175aa","0x00200150,0x4b1ace90,0x90595430,0xda104721,0x82048005,0x97c80208,0x07a4ac91,0xf348e1a3"
25,bit13_m916a56aa,41,16,133,76,57,"0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x08004000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000040,0x00000000,0x00002000,0x00000000,0x10084100,0x916c1c27","0x09002120,0x011744a1,0x409b1c53,0x4c9f0137,0x40480041,0x3870002c,0x81a30146,0x0141084f"
26,bit13_m916a56aa,41,16,113,86,27,"0x00000000,0x00000000,0x00000000,0x00000000,0x00000800,0x00000000,0x00000000,0x00000000,0x00000400,0x00000000,0x00000000,0x00000000,0x00000000,0x00002000,0x00010008,0xe010c412","0x00000490,0x2c350bac,0x8a147366,0x350e09d6,0x45842008,0xb404c084,0x0c34c123,0xb3134866"
27,bit13_m916a56aa,41,16,115,90,25,"0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00008000,0x00000000,0x00000000,0x00000000,0x20000000,0x00000000,0x00200000,0x00000000,0x00800000,0x00002000,0x1ba5ad41","0x29280002,0x4e33090c,0x023a89b8,0xbe1c4f82,0xc0801541,0x4c095822,0x7a984905,0x761a20e4"
28,bit13_m916a56aa,42,16,130,93,37,"0x00000000,0x00400000,0x00000000,0x00000080,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x10000000,0x40000000,0x00000400,0x00400000,0x00000000,0x00000020,0x45d20250","0x00041010,0x52d01152,0x838825ab,0x208c8c93,0x122a8a00,0xfe0ff940,0x556e5c50,0x76580a1b"
29,bit13_m916a56aa,42,16,131,82,49,"0x00000000,0x00000040,0x00000000,0x00000000,0x00000000,0x01000000,0x00000000,0x00000000,0x00000004,0x00002000,0x00020000,0x00000000,0x00000000,0x00040000,0x01200000,0x26a9a803","0x40040041,0x80058c30,0xb7b2621e,0xb82c0e83,0x8d080014,0x019023a2,0x0ee20b20,0x0272a768"
30,bit13_m916a56aa,42,16,125,86,39,"0x00000000,0x00000400,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000800,0x00008000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000c00,0x81a0208e","0x02100a00,0x04c63430,0x259522d3,0xc1a4e461,0x20808009,0x3b11604f,0xc1ce4881,0x123eb630"
31,bit13_m916a56aa,42,16,129,97,32,"0x00000000,0x00000000,0x00000000,0x00000000,0x08000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x04000020,0x10028a4c","0x00002200,0xd4198bb9,0x89f00476,0x16ae6e50,0x2408084e,0x9c8a7164,0x8e4fc821,0x935b8c54"
32,bit13_m916a56aa,42,16,113,79,34,"0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00004000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00001040,0x98cba0ce","0x80414404,0x44680521,0x06ea81a4,0x14a0209d,0x43011110,0x9680002a,0xab019c4f,0xe42e8448"
33,bit13_m916a56aa,42,16,129,77,52,"0x00000000,0x00000000,0x00000000,0x20000000,0x00000000,0x00080000,0x00000000,0x08000000,0x00000000,0x00000080,0x00000002,0x00000000,0x20000000,0x08080040,0x000020c0,0x716918e2","0x00140212,0x18421815,0x14309c07,0x093b1805,0x00812080,0x8a0386d2,0xdb90c343,0x6d170008"
34,bit13_m916a56aa,42,16,125,82,43,"0x00000000,0x00000000,0x00000000,0x00000000,0x00000008,0x00000000,0x00000000,0x00000000,0x00000100,0x00000400,0x00000000,0x00000000,0x00400000,0x00000600,0x90000180,0x23ab222e","0x4a8a0c01,0x1114401c,0x52968239,0xd51c1282,0x80040040,0x269de456,0x6248a286,0x6c381048"
35,bit13_m916a56aa,42,16,130,86,44,"0x00000000,0x00000000,0x00000000,0x00000100,0x00000000,0x00000004,0x00020000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000008,0x00000020,0x88000002,0xa9708374","0x84000009,0x340f0807,0x06f06241,0x38d1f035,0x00c80c10,0x2cc8d1d9,0x62c09408,0x357844b6"
36,bit13_m916a56aa,42,16,119,87,32,"0x00000000,0x00000000,0x02000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000020,0x00000014,0xfa7f476a","0x005a0109,0x89408160,0x88123041,0xa3e4b472,0x11005840,0x1521c412,0xabf4131f,0x198b7528"
37,bit13_m916a56aa,42,16,127,82,45,"0x00000000,0x00000000,0x00000000,0x00000800,0x10000000,0x00400000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000042,0x0d080540,0x5773c340","0x0384c040,0x33c05121,0xea02c932,0xa4120d6c,0x08000481,0x212044be,0x11a000bb,0x99e16942"
38,bit13_m916a56aa,43,16,129,92,37,"0x00000000,0x00000010,0x00000000,0x00000000,0x00000001,0x00000000,0x00000001,0x00000000,0x00000040,0x00000000,0x00000000,0x80000000,0x00800000,0x00000000,0x00010008,0x01a878cc","0x4010a064,0x4b181809,0x81e02b60,0x17415aca,0x0a880001,0xbf73e885,0x1110bacd,0xca0b50e8"
39,bit13_m916a56aa,43,16,127,89,38,"0x00000000,0x00000000,0x00000000,0x00000000,0x00001000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x8010020a,0x00000fc2","0x21300040,0x39120151,0x5cd86a09,0x6b528fa1,0x04420a01,0x041c8202,0x84d7cc85,0x4594ecd6"
40,bit13_m916a56aa,43,16,121,77,44,"0x00000000,0x00000000,0x00000000,0x00000400,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x40000000,0x00000000,0x00000000,0x00800040,0x00000000,0x08140002,0x170007f4","0x02200424,0xe00284ac,0x98993868,0xa0005394,0x10880101,0x69d0b464,0x0bb80522,0x09340992"
41,bit13_m916a56aa,43,16,126,84,42,"0x20000000,0x00000400,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00004000,0x00000000,0x20000000,0x00800000,0x00000002,0x01000800,0x00000000,0x00080014,0xc60c82c0","0x02040940,0x54586ba4,0x1d4ec012,0x0a05c038,0x80311005,0xe8e091b1,0x811a2c10,0xe554dc20"
42,bit13_m916a56aa,44,16,131,82,49,"0x00000000,0x00000010,0x00000000,0x00000001,0x00000000,0x00000000,0x00000000,0x00080080,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0xe0000308,0xf62d2962","0x010002a8,0x42e24022,0x9658c380,0x8c356b06,0x80201042,0x211809b6,0xb72134fb,0x91880142"
43,bit13_m916a56aa,44,16,137,86,51,"0x00000000,0x00000000,0x00000000,0x00000000,0x00200000,0x00000000,0x00000000,0x20000000,0x00000000,0x00002000,0x00000000,0x00000000,0x00000000,0x00000002,0xa0000424,0x80de0408","0x246200a2,0x20dc900c,0xe01821d0,0x41ff18cd,0x00108800,0x8280d280,0x15c923d8,0x1c653ea5"
