record,candidate_id,input_hw,rounds,start_hw,best_hw,improvement,best_m2,best_state_diff
1,bit13_m916a56aa,35,16,142,92,50,"0x02800000,0x00000000,0x00000000,0x00000000,0x04000000,0x00000000,0x00000000,0x10000020,0x00000000,0x00000000,0x00000000,0x00000000,0x04000000,0x00008000,0x00040000,0x17000ea1","0x40006250,0xc7281b0a,0x028a6958,0x9434a4ff,0x09020105,0xa8a59490,0xc05501f4,0x300f366d"
2,bit13_m916a56aa,36,16,123,85,38,"0x80000000,0x00000000,0x00000000,0x00000000,0x02000000,0x00000000,0x00000020,0x00002000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x12080080,0x22208040,0x0ba6c25a","0x00402210,0x19010112,0x418c58d1,0x889702b8,0x92118041,0xa9732c7c,0x9400903e,0xab694199"
3,bit13_m916a56aa,38,16,130,90,40,"0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00020080,0x00000000,0x00002002,0x00000000,0x00000000,0x00080000,0x00000000,0x00200000,0x01000000,0x10090080,0xa9e3b200","0x10251100,0xc8888a08,0xd46e672e,0x8ad5922c,0x01000090,0xe1156dd0,0xd1811481,0x84d239e9"
4,bit13_m916a56aa,38,16,136,80,56,"0x04000000,0x00000000,0x00000200,0x00000000,0x00000000,0x00000000,0x00010000,0x00000000,0x00010000,0x00000000,0x08002000,0x00000000,0x00000000,0x10000000,0x04000000,0xb0b3c038","0x00020422,0x04802823,0xa5db88d9,0x90826b51,0x18140040,0xadc09194,0x12331ec4,0x4400e342"
5,bit13_m916a56aa,39,16,122,77,45,"0x00040004,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00004000,0x00000000,0x00000000,0x08004000,0x00030002,0x02000000,0xee1eb766","0x80008050,0x80d43a42,0x5128480f,0x102ed82c,0x00401281,0x10044948,0x32900aaa,0xb5cf6428"
6,bit13_m916a56aa,39,16,127,79,48,"0x00020000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00040800,0x00000000,0x00000000,0x00000000,0x00000000,0x00008000,0x00000000,0x20b05100,0x0a2f4b79","0xc0630808,0xa100680a,0x488851af,0x51080b2d,0x08001100,0x4809dd9a,0x0ba01240,0xccb0da41"
7,bit13_m916a56aa,40,16,120,86,34,"0x80000200,0x00008000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00400000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00a00210,0xb28ea11b","0x00881100,0x95d9828a,0x81891189,0x7af02502,0xe0020840,0x24800424,0xaa0c0403,0xffb5dd67"
8,bit13_m916a56aa,40,16,140,93,47,"0x00000000,0x10010000,0x00000000,0x00800000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00001000,0x00000000,0x00000000,0x00000811,0xa0004006","0x28411088,0x2d48dac4,0xe1105a40,0x1c6b168c,0x00c10800,0x2329ea23,0xa7b0e388,0x8c5c80f7"
9,bit13_m916a56aa,40,16,136,81,55,"0x00000000,0x00002000,0x00040000,0x00000000,0x00000000,0x00000200,0x00000000,0x80000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00002000,0x00890804,0xaeb0c168","0x00001042,0x81409384,0x00251052,0x611b864b,0x45088104,0x2d292410,0xd34903c1,0x6c3c8ed7"
10,bit13_m916a56aa,40,16,140,83,57,"0x00000008,0x00000000,0x00000000,0x00000800,0x00000000,0x00000002,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x43002000,0x80700730","0x60000080,0xa7680661,0xd83adabd,0x442ec582,0x00d48005,0x148a245c,0x00035173,0x0a068083"
