record,candidate_id,input_hw,rounds,start_hw,best_hw,improvement,best_m2,best_state_diff
1,bit13_m916a56aa,35,16,142,83,59,"0x00000000,0x00000000,0x00000000,0x00000080,0x00000050,0x00000000,0x00000000,0x00000000,0x00000200,0x00000000,0x00000000,0x00001000,0x00020001,0x00001080,0x02100000,0x17e89a31","0x08300080,0x32cd01ae,0x4288f813,0x00a300ca,0x84006052,0x150c50e9,0x5a934432,0x2c169166"
2,bit13_m916a56aa,36,16,123,87,36,"0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x10000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000002,0x00000000,0x00000004,0xb1a20067","0x15020005,0x04c01dc3,0x1563824c,0x87eb1acc,0x00208010,0x8200b268,0xcaee0568,0x02c7c06f"
3,bit13_m916a56aa,38,16,130,84,46,"0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000200,0x00040000,0x00080000,0x00000000,0x0009008f,0x77a1cd04","0x01201410,0xc5181d0c,0x60e119e3,0x8319c0c2,0x08000086,0x8230b482,0x2e88dbc4,0x89337c80"
4,bit13_m916a56aa,38,16,136,86,50,"0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000020,0x00000000,0x00000000,0x40000000,0x00000000,0x00000000,0x00000000,0x8000a010,0x00000000,0x40000004,0xf3a8070f","0x02020080,0x23cc491d,0x32d0838c,0x120eaa00,0x01040011,0x81f482af,0x3d1a72ce,0x81349c15"
5,bit13_m916a56aa,39,16,122,84,38,"0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x01000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000100,0x00000000,0x00000201,0xdc0d2e83","0x00400000,0xf638a506,0x20127acc,0xe966e0ee,0x08016004,0x88168351,0xd44484b0,0x04828d33"
6,bit13_m916a56aa,39,16,127,85,42,"0x00000000,0x00080000,0x00000000,0x08000000,0x40000000,0x00008000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000100,0x00000000,0x00000000,0x00100000,0xa2a0016f","0x00108090,0x41d80927,0xcf907d51,0x31d004c0,0xa8409401,0x348ddb98,0x33180209,0xf0a00832"
7,bit13_m916a56aa,40,16,120,72,48,"0x00000000,0x00000000,0x00000000,0x00000000,0x08000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00800000,0x04000800,0x02004160,0xef9a03a6","0x10040011,0x4c441821,0xd3e600ae,0x25a8992a,0x80403800,0x08904078,0x80048014,0x4f0c0f03"
8,bit13_m916a56aa,40,16,140,83,57,"0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x02000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00400000,0x40000000,0xc3cb715f","0x00451082,0x20e63225,0x0301d234,0x08f8e0c3,0x00008840,0xc4397499,0x9ac42dc0,0xcdc18104"
9,bit13_m916a56aa,40,16,136,84,52,"0x00800000,0x000000a0,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x04000000,0x00000800,0x00000000,0x00000000,0x40000000,0x20000000,0x00080000,0x14113013","0x00400008,0x916ebdc9,0x71e2e1c6,0x91583e01,0x08121160,0x04351448,0x62221090,0x125a1586"
10,bit13_m916a56aa,40,16,140,86,54,"0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x40000001,0x80000000,0x00000080,0x00000000,0x00000000,0x00000000,0x00022000,0x20100300,0x02891047","0x00414840,0x1246192a,0x736524a0,0x825becc2,0x5a000225,0x001c0431,0x033b196b,0x8089e1e2"
11,bit13_m916a56aa,40,16,139,73,66,"0x00400200,0x00000000,0x00000000,0x00000004,0x00000000,0x00000001,0x00002000,0x00000000,0x00000000,0x00000040,0x00000000,0x00000200,0x00000200,0x00400001,0x80001002,0x4d5b07bc","0x09240002,0x612c90b7,0x073401f1,0xa0102306,0x20000840,0x78804434,0x04129b2c,0x48001cb9"
