record,candidate_id,input_hw,rounds,start_hw,best_hw,improvement,best_m2,best_state_diff
1,bit13_m916a56aa,35,24,141,102,39,"0x00000000,0x02000000,0x00000200,0x00000000,0x00000200,0x00000000,0x00000000,0x00000010,0x00000000,0x04000400,0x00400000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000","0x90ae3538,0xc000a584,0xd881e2ee,0x8b465361,0xa84310e4,0x8d01e04d,0xa0831a16,0x3bd8159a"
2,bit13_m916a56aa,36,24,133,100,33,"0x80000000,0x02000000,0x02000000,0x00002000,0x00000000,0x00000000,0x00000800,0x00000000,0x00000002,0x00000000,0x00400000,0x00004000,0x00000000,0x00000000,0x00880000,0x00000004","0x1c4825e4,0x51400710,0x84191015,0xa14442d2,0x4da2ec31,0x26e11cee,0x6b18265a,0x466a176c"
3,bit13_m916a56aa,38,24,139,97,42,"0x00000004,0x00000000,0x00000000,0x00000000,0x10000000,0x00000002,0x00000000,0x00000000,0x00000000,0x00000000,0x00000402,0x00000000,0x00800000,0x00000000,0x40004000,0x00000000","0x2d1c4d43,0xfa680c11,0xa4d29acc,0x2a168414,0x40909c41,0x48228eec,0x10b61a70,0x0249932a"
4,bit13_m916a56aa,38,24,126,102,24,"0x04000000,0x00000000,0x00000000,0x00000284,0x00400000,0x00000000,0x40000000,0x0000a000,0x00000000,0x00000000,0x00000000,0x08000000,0x00000000,0x00000008,0x00000000,0x00000000","0x1711c551,0xe822c69d,0x0c9148a6,0x0182d619,0x424a0ae3,0xd4a20adb,0xa4998034,0x3f14b405"
5,bit13_m916a56aa,39,24,121,100,21,"0x00000000,0x00000001,0x00000000,0x00000000,0x00000000,0x00000040,0x00000000,0x00000000,0x00800000,0x00000000,0x00000000,0x00000000,0x00000004,0x80000000,0x00000020,0x00000000","0x89182511,0x23e0c242,0x0e764a15,0x0481a1d2,0x05430d96,0xe12dcef2,0x2949505c,0x9f102531"
6,bit13_m916a56aa,39,24,139,99,40,"0x01000000,0x00000000,0x10000000,0x00080000,0x00000000,0x00802200,0x00000000,0x00000000,0x00100080,0x00000000,0x00104000,0x00000020,0x00000000,0x00000000,0x00000800,0x00000000","0x6307fc04,0x6ae46099,0x2c023d91,0x21a9c221,0x421303f2,0x01026591,0x18790062,0x4217ff19"
7,bit13_m916a56aa,40,24,122,101,21,"0x00000000,0x00000001,0x00000410,0x00000000,0x00000000,0x00000002,0x00000000,0x00000000,0x00000000,0x10000200,0x20000000,0x00000000,0x00000000,0x00000008,0x00000002,0x00001000","0x39440136,0x5a0abd10,0x0ab82872,0x6f293c00,0x1146cfcc,0x34198084,0x809e2ce8,0x4babd430"
8,bit13_m916a56aa,40,24,135,96,39,"0x10000400,0x00000000,0x00000000,0x00000000,0x00000000,0x00000010,0x00100000,0x00010080,0x08000000,0x00000402,0x00000800,0x00000000,0x00000000,0x00000000,0x02000000,0x00004001","0x06811b0e,0x1a102082,0x15b654cd,0x5ca51112,0x0f2ce63b,0x88c14026,0xf1143c00,0xe220497c"
9,bit13_m916a56aa,40,24,131,100,31,"0x00002000,0x04000000,0x00000000,0x00000000,0x00000000,0x00000000,0x80000000,0x00000000,0x00000040,0x00000000,0x00000000,0x00000000,0x00000000,0x00400001,0x00000000,0x00000000","0x81e8ebc9,0x1f528840,0xc5a3782d,0x4c28a122,0xa810b240,0xc5121ad8,0x4d830440,0x0c433fd3"
10,bit13_m916a56aa,40,24,124,104,20,"0x00000000,0x00000000,0x00020000,0x00000200,0x00000000,0x00000004,0x00000000,0x00000000,0x04000000,0x10000000,0x00000000,0x00000000,0x00000000,0x80000000,0x08000000,0x00000000","0x46118c03,0x5450d2c6,0x439472f9,0x2f130216,0x10419589,0xfc35baaa,0xc4b80560,0x00e3698e"
