record,candidate_id,input_hw,rounds,start_hw,best_hw,improvement,best_m2,best_state_diff
1,bit13_m916a56aa,35,12,134,80,54,"0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00005000,0x00000000,0x00000001,0x02000500,0x10804102,0xffa27034,0x6d257853,0xc595f599,0x04e1f190,0x04a39758","0x40000040,0x801a70e2,0x19896212,0x80c02c37,0x0101a604,0x95240205,0x0c08ef66,0xc7d6c448"
2,bit13_m916a56aa,36,12,135,92,43,"0x00000000,0x00000000,0x00000000,0x20000400,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000004,0x10900000,0x08010781,0x0577bb42,0x0a1bd551,0x868509c6,0xbbbb760c","0x0002000b,0x800f1b0e,0x48a58712,0xb844f90d,0x48d00082,0x18365405,0x5693005a,0xbafe621d"
3,bit13_m916a56aa,38,12,129,79,50,"0x00000000,0x02000000,0x00008000,0x00000000,0x00000002,0x00000000,0x00000000,0x00000000,0x00000000,0x00040000,0x01100000,0x8c287488,0x9a91684a,0xfda31ee1,0x3af05a0a,0x00c0efd1","0x00206404,0x00811048,0xe8905091,0x1d284566,0x12000081,0x8312c618,0x72b8e0dd,0x411eea48"
4,bit13_m916a56aa,38,12,122,85,37,"0x00000000,0x00100000,0x00000000,0x00000000,0x00000000,0x00000000,0x10000000,0x00000000,0x00000000,0x00000000,0x00181302,0x04fc3c5e,0x8f8d0d62,0x6cf61550,0x2484679c,0x2f0e5065","0x80201120,0x0137da02,0xb781ab13,0x0d0c800f,0x14084088,0x60404401,0x70f4a716,0x80be4347"
5,bit13_m916a56aa,39,12,130,85,45,"0x00202000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00100000,0x00000000,0x00000060,0x00000000,0x04088000,0xa91bf916,0x9c1882a9,0xdb202dc5,0x236c626a,0xbcd13a01","0x00900004,0x247a0400,0x04014092,0x82abad69,0x0040aa21,0xcc0f0566,0x7275652c,0x82fdaa03"
6,bit13_m916a56aa,39,12,148,88,60,"0x10000000,0x00000000,0x00000000,0x00000002,0x40000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x80008040,0x4e7917c0,0xb1fcdcdb,0x36d31135,0xb52381b7,0xadb53196","0x24900840,0x5840c01b,0x9b257901,0x8e327a49,0x40420104,0xc42b1247,0x8d28124c,0xba20d323"
7,bit13_m916a56aa,40,12,136,90,46,"0x00000000,0x00000000,0x00000000,0x00000000,0x20000000,0x00000000,0x00810000,0x00002000,0x00000000,0x00000000,0x40920400,0xdf3370ff,0xb2f4694a,0xe84344da,0x676e9e17,0x1bc9ae64","0x810a4001,0x80038920,0x14e421de,0x807b3784,0x2401322c,0x3024180a,0xf6a31f46,0xb3a1984c"
8,bit13_m916a56aa,40,12,130,80,50,"0x00000000,0x00000000,0x01000000,0x00000000,0x00000000,0x00040000,0x00000000,0x00200000,0x02000000,0x00008000,0x80000233,0xaa214b86,0xe1c19ca7,0x2a70b468,0x5f48a109,0xba391b0c","0x0a100140,0x8500480f,0x26bd4823,0xca60dca1,0x00868401,0x88cd8844,0x0180843a,0xa445ec21"
9,bit13_m916a56aa,40,12,120,86,34,"0x00000000,0x00024080,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000002,0x00002000,0x00000482,0x41e01b11,0x9b7791e1,0x87a49667,0xad46c2d4,0x4c057269","0x00804b00,0x29980788,0xf540369b,0x0740713a,0x4214001a,0x00d102aa,0x3dc248f0,0x0f25841c"
10,bit13_m916a56aa,40,12,130,78,52,"0x00000000,0x04100000,0x00000000,0x00000000,0x00000000,0x00000004,0x00000000,0x00000000,0x00000000,0x00014480,0xa1004d04,0x183db5b2,0xec411ec2,0x4bc8b0a5,0x63d21bc0,0x13fa7a78","0x04820082,0xa58008c2,0x2e0c6125,0x1ba800c0,0x00048a01,0x2e215500,0xf44052f9,0x003bb741"
11,bit13_m916a56aa,40,12,124,87,37,"0x00400000,0x00010000,0x00800000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000080,0x00010000,0x80a20000,0x8c8f0764,0x93a3ce58,0x58e52832,0x4d2b31fd,0xe25d6a54","0x00400412,0xaf0238a4,0x0381818b,0x8c07a665,0x44806040,0x503c458c,0xf40eb81d,0x9438c1b0"
12,bit13_m916a56aa,40,12,128,78,50,"0x00000000,0x00040000,0x00000000,0x00004000,0x00000000,0x00000000,0x00000000,0x24000000,0x00000000,0x00020000,0x04300002,0xa288e3c1,0x1e110e94,0x3188acab,0xda363129,0x8832243c","0x30208203,0xb40aa882,0x84150402,0x7bad80b9,0x00800414,0x304ef408,0xcc50261e,0x30182120"
13,bit13_m916a56aa,40,12,132,82,50,"0x00000000,0x20010000,0x00000001,0x00800000,0x00000000,0x00000000,0x00000000,0x00100000,0x00002000,0x00600810,0x00400206,0xec256dc5,0xb78a634c,0xd86493d0,0x20009be0,0xa73c9a40","0x00084008,0x02303c81,0x31947e9e,0xea303208,0x01c10122,0x480122a8,0x74264608,0x075381fd"
