record,candidate_id,input_hw,rounds,start_hw,best_hw,improvement,best_m2,best_state_diff
1,bit13_m916a56aa,35,16,142,82,60,"0x00020000,0x00000010,0x00004000,0x00008000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x08000004,0x00008000,0x00000000,0x00000000,0x00000000,0x00000001,0x997019a6","0x08004012,0x00a56e0c,0x08d6ea86,0x2c2c4429,0x21405104,0x520a2210,0x88e16539,0xd74640c2"
2,bit13_m916a56aa,36,16,123,91,32,"0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00020002,0x00000000,0x00000000,0x00000000,0x00010800,0xeb639c20","0x00600044,0x09193919,0xe0ec98c2,0x7e1c7262,0x100660a0,0xc9266582,0x6ca84e2c,0x39013642"
3,bit13_m916a56aa,38,16,130,88,42,"0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x10000000,0x20000000,0x00000000,0x00000000,0x10000000,0x00000000,0x00100000,0x00000800,0x00c00422,0x32ca60a9","0xc1408012,0xe84a9e80,0x24060ec8,0xa3dc0159,0x04022004,0x09987000,0xede35857,0xa804979c"
4,bit13_m916a56aa,38,16,136,82,54,"0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000004,0x00000000,0x00002008,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000100,0x00000091,0xa07b8eae","0x09804100,0xb961c10a,0x902012e4,0xd6020335,0x000810a9,0x0d02898a,0xd4249f38,0x1b230896"
5,bit13_m916a56aa,39,16,122,91,31,"0x00004000,0x00000000,0x00000000,0x00000000,0x20000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000008,0x00000000,0x00000000,0x00040400,0x00000140,0xc111ca72","0x0304c0b0,0x4cc39d06,0x80ef0f68,0x53980457,0x00000001,0x41434ad9,0xc0b7005b,0x55e61219"
6,bit13_m916a56aa,39,16,127,91,36,"0x00000000,0x00000000,0x40000000,0x00020000,0x00000000,0x00000020,0x01000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00200000,0x00000000,0x00000000,0x00020202,0x484202a2","0x20000d05,0xc12e9102,0x6b304de6,0x0e8efc3d,0x40412020,0xe4207880,0x6218c35c,0x0309f0c5"
7,bit13_m916a56aa,40,16,120,85,35,"0x00000000,0x00000000,0x00000000,0x00000080,0x00000000,0x00000000,0x00000000,0x00100000,0x00000020,0x00000000,0x00000000,0x08000000,0x00000800,0x00000000,0x47810002,0xd1822270","0x98810501,0x60464857,0xa51ad4f8,0x804c829b,0x01008040,0x04394a44,0x082a9081,0x68bbe455"
8,bit13_m916a56aa,40,16,140,89,51,"0x00000010,0x00000000,0x00000000,0x00000040,0x00000000,0x00000000,0x00008000,0x00000000,0x00000000,0x00200000,0x80000000,0x00000000,0x00000000,0x00008000,0x00110000,0x5471c037","0x08084a08,0x02749d52,0xda9a609a,0x627b0a3c,0x21000081,0x24e9db0b,0x00844602,0xe850a5b1"
9,bit13_m916a56aa,40,16,136,75,61,"0x00000000,0x00000000,0x00000000,0x00000202,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x01000000,0x00000000,0x80000000,0x00010040,0x02041010,0x3169e83f","0x81262004,0x82b62244,0x0d71b042,0x58104460,0x00108801,0x250d0d40,0x1a0b2510,0x7d301492"
10,bit13_m916a56aa,40,16,140,86,54,"0x00000000,0x08000000,0x00000000,0x00000000,0x00200000,0x00000080,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00040000,0x00100002,0xa8c3fc16","0x08825404,0x2f941684,0x2242c248,0x90762323,0x10040140,0xd9c87014,0x2484a0ba,0xa7d5485c"
11,bit13_m916a56aa,40,16,139,83,56,"0x00000000,0x00000280,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x08000000,0x00000000,0x00000000,0x40090100,0x97838150","0x00040010,0x45022d13,0x57632ba6,0xd08570cb,0x00284041,0xe12870b4,0xa309b852,0x60484122"
12,bit13_m916a56aa,40,16,126,84,42,"0x00004000,0x40000000,0x00000000,0x00000000,0x00000080,0x00000000,0x00000000,0x00000000,0x00800000,0x00000000,0x00000000,0x00000000,0x00000000,0x04000000,0x80083140,0x87114970","0x01902401,0x81300ee1,0x35b1400a,0x1d006c1a,0x28000090,0x14a9d670,0x80f44466,0x266dab84"
13,bit13_m916a56aa,40,16,129,91,38,"0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00200000,0x00000000,0x00000000,0x00000000,0x00000000,0x00800000,0x182880a5,0x8941041f","0x8c201080,0xa820d805,0xa2bf5077,0x718c99eb,0x6000480d,0x851a81a0,0x72608708,0x4ba58484"
