record,candidate_id,input_hw,rounds,start_hw,best_hw,improvement,best_m2,best_state_diff
1,bit13_m916a56aa,35,24,141,101,40,"0x40000040,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000200,0x00000000,0x00000100,0x00000000,0x00002200,0x00000000,0x20000000,0x01000000","0x29ccc188,0x3ba53d90,0x342e4375,0x29c84d04,0x545a9326,0x24a2d240,0xe20709f0,0x3081c4c8"
2,bit13_m916a56aa,36,24,133,105,28,"0x00000000,0x00000000,0x00000000,0x00000400,0x00000000,0x00000000,0x00002000,0x00000000,0x00000000,0x00000000,0x00020000,0x00000000,0x00000000,0x00000200,0x00000010,0x00000000","0x8199a105,0xe10833a6,0x06a84c74,0xb60230c4,0xcc7d6e38,0xa68a6638,0x0685222e,0x77619849"
3,bit13_m916a56aa,38,24,139,99,40,"0x00000000,0x08000002,0x00000000,0x00000000,0x08000000,0x00000000,0x00000000,0x00000000,0x00480000,0x00000000,0x00000800,0x00040000,0x00000000,0x00000000,0x00000000,0x00000400","0xf24c8d01,0x158f9f3d,0x03389085,0xf2491149,0x0150a89e,0x06d0037e,0xb2207840,0x180e00bc"
4,bit13_m916a56aa,38,24,126,101,25,"0x00000000,0x00000000,0x00080000,0x00000000,0x00000080,0x00000220,0x00000000,0x04001000,0x00000000,0x00000000,0x00000100,0x00800000,0x00001000,0x02000000,0x00000000,0x00040000","0x08719c16,0x9468439e,0x85620530,0xb6188c08,0x32c3721a,0x808486d0,0xd557e338,0x1d4048dd"
5,bit13_m916a56aa,39,24,121,100,21,"0x10000000,0x10001000,0x00000000,0x00000040,0x00000000,0x01800000,0x00200000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000008,0x00000800,0x00000000,0x00000000","0x0252a6cc,0xf0a27845,0x6acc3905,0x81953911,0x1180d355,0xca74c8b2,0x844c051a,0x32c41ac0"
6,bit13_m916a56aa,39,24,139,101,38,"0x00000000,0x00000004,0x00000000,0x00000000,0x40000000,0x00000000,0x00000000,0x00000000,0x00000002,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00080000,0x00000000","0xa0e58a6a,0x885a0410,0x4e199d9c,0x88de41c9,0xd927ac24,0x32029c98,0x19508e07,0x9e048231"
7,bit13_m916a56aa,40,24,122,103,19,"0x10000000,0x10000004,0x02000000,0x00800000,0x08000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00010000","0xe16ea09c,0x462840d4,0xda2c0724,0x5cc22041,0xa0b1e3c0,0x90715a71,0x7a9540a9,0x4b3a2686"
8,bit13_m916a56aa,40,24,135,102,33,"0x00000000,0x00000000,0x00000004,0x00000000,0x00200400,0x00000000,0x80000000,0x00001000,0x02000000,0x80000000,0x00000020,0x00000000,0x80040000,0x00400000,0x00000000,0x00000000","0x0b5a7242,0x4e0be41c,0xe7e22028,0xdbc89d25,0x2204822f,0x1aaea805,0xc48f820a,0x39ac1020"
9,bit13_m916a56aa,40,24,131,102,29,"0x00010000,0x00000204,0x00000000,0x00040000,0x00000000,0x00000000,0x08000000,0x00008010,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000001,0x00000010,0x00000000","0x10e81721,0x8ee02e0d,0xd511a914,0x59e2b978,0x07ce2560,0xb260048b,0x9300ba47,0xad813200"
10,bit13_m916a56aa,40,24,124,103,21,"0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00200000,0x00000000,0x00000000,0x00000008,0x10000000,0x00000400,0x00000000,0x00000000,0x00000000,0x00000000","0x739d10a1,0x5646e8e1,0x2032c3ce,0x5a2020aa,0x1000ed9a,0xe20d2403,0x8c067e45,0xc0578d74"
