record,candidate_id,input_hw,rounds,start_hw,best_hw,improvement,best_m2,best_state_diff
1,bit13_m916a56aa,35,20,131,101,30,"0x00000000,0x08000000,0x00000200,0x00000000,0x10000000,0x04000000,0x00000000,0x00000000,0x08000000,0x04000000,0x00000200,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000","0x2a01225a,0x8341d0a2,0xb43823b1,0xf4caf044,0x50d88213,0xa62a083b,0x52834224,0x2ab5fe82"
2,bit13_m916a56aa,36,20,130,98,32,"0x00010000,0x00040004,0x00000000,0x00000000,0x00000480,0x40000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00020000,0x00000000,0x01128200,0x00000000,0x00020000","0x150d7582,0x1a801f62,0x15abcca8,0x43566048,0xc6055563,0x40a72053,0x0a036843,0xad0314c2"
3,bit13_m916a56aa,38,20,136,100,36,"0x00000100,0x02000000,0x00000000,0x00000000,0x00000800,0x00000002,0x00000000,0x00002000,0x00000000,0x00000000,0x00008002,0x00000000,0x00000002,0x00000000,0x00000000,0x00000003","0xa0808086,0x67622a68,0x695a111b,0x2670ee92,0x470bc5e8,0xe16fa10d,0x58420a44,0x75521002"
4,bit13_m916a56aa,38,20,123,100,23,"0x00008000,0x00000000,0x40020000,0x00000104,0x00000000,0x00000000,0x00000010,0x00002000,0x00000020,0x00000000,0x00000060,0x00000000,0x01000000,0x00000000,0x00000006,0x00000800","0x402a0e01,0x0531069e,0x0c3b0555,0xe1203d95,0xf42c60a7,0x82892049,0x383ea031,0x5027e5cb"
5,bit13_m916a56aa,39,20,124,100,24,"0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x40000000,0x00000082,0x00000000,0x00000000,0x00000000,0x00000000,0x80000000,0x00002000,0x00200000","0xc7910a63,0xcbba1004,0xd0c7cd0d,0xd1314400,0x16a82285,0x57010052,0x16661f33,0x31ab1702"
6,bit13_m916a56aa,39,20,122,104,18,"0x01000000,0x00000000,0x00000000,0x00040000,0x01000000,0x00000000,0x00000000,0x00000000,0x00000400,0x00004000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000","0xb3d44076,0x19651d04,0x74d989ac,0x53616655,0x0680aa02,0x449595a9,0x4bada808,0x22954819"
7,bit13_m916a56aa,40,20,126,103,23,"0x00000000,0x00000000,0x00000100,0x00080000,0x00000000,0x00000000,0x00000008,0x00008000,0x10040000,0x00000000,0x00000000,0x00000040,0x00000000,0x00000010,0x00002000,0x00000000","0xe92e0143,0xc465e951,0xa01580eb,0x67ec0c9d,0x41248807,0x12de62a6,0xb00f2250,0x884c2235"
8,bit13_m916a56aa,40,20,127,102,25,"0x00000000,0x00000001,0x00000000,0x00000000,0x08000000,0x01000000,0x00000008,0x00000000,0x00000080,0x00000020,0x00000000,0x00000200,0x00820080,0x00001000,0x00000080,0x04000000","0x898c062a,0x61860a89,0x02714ae0,0x80c2a1ef,0x02521aa1,0x51aa6a44,0x06b2b7cd,0xef326049"
9,bit13_m916a56aa,40,20,134,104,30,"0x00100000,0x00000000,0x00000000,0x00000000,0x00002000,0x00208000,0x00000000,0x00000400,0x00000000,0x00000000,0x00000000,0x00020000,0x00000000,0x00000000,0x00000000,0x00000020","0xca094033,0xada31de0,0x1b8c86f0,0x5404ca18,0x20240491,0x8d4d2023,0x67d7f034,0x47647d23"
10,bit13_m916a56aa,40,20,114,97,17,"0x00000000,0x00000000,0x00000000,0x00000000,0x10008000,0x04000000,0x00000000,0x00000000,0x00000000,0x00000400,0x01000000,0x00000000,0x00008000,0x00000210,0x20000000,0x00000004","0x6c2954e1,0x50f93138,0xe2d2021f,0x5a826923,0x5bc49284,0x9284903d,0xa2401e10,0xc4029a00"
11,bit13_m916a56aa,40,20,129,98,31,"0x00000000,0x00004000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00800800,0x00000000,0x00000000,0x20000000,0x00000000,0x00008200,0x04001480,0x00020000,0x00000000","0xa722b410,0x92887d79,0x07163841,0x10402038,0xc743d125,0x403068ef,0x0234c22a,0x1387b8c3"
12,bit13_m916a56aa,40,20,144,102,42,"0x00000000,0x00000000,0x00002000,0x00000000,0x80000000,0x00000000,0x00000000,0x12000000,0x00008000,0x00200000,0x00800080,0x00000000,0x08000000,0x00000000,0x00400000,0x00000040","0x955501a4,0x2cb03682,0x25a84caa,0x2e115906,0x9164363d,0x0f042620,0x0c71ea82,0xf8332b83"
13,bit13_m916a56aa,40,20,133,102,31,"0x00000800,0x00000000,0x00020000,0x00000000,0x00000000,0x00400000,0x00000000,0x00000000,0x00000100,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00200000,0x00000000","0x0e501361,0xe80231a6,0x34c22d41,0x1c9d4706,0x126342f2,0xc22a2a14,0x4166daa5,0xd531605a"
