record,candidate_id,input_hw,rounds,start_hw,best_hw,improvement,best_m2,best_state_diff
1,bit13_m916a56aa,35,12,134,86,48,"0x00000000,0x02000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x01100400,0x08008600,0x78c01440,0x58df2d66,0x147e7f48,0x4e0caf96,0x25bb82eb","0x0c010500,0x1960030e,0x11a71b46,0x0bda6428,0x20282808,0xa3003ea3,0x5a5782cc,0x0c2d09a0"
2,bit13_m916a56aa,36,12,135,84,51,"0x00000000,0x00000000,0x00000100,0x00000000,0x00010000,0x00000000,0x00001000,0x04000400,0x10000010,0x00440080,0x40800008,0x588da18e,0xab4b1f0c,0xcb3f2037,0xaf81f28a,0x8ede5d89","0x02024200,0xc2850d77,0xecc7000a,0xd194ab0e,0x40891020,0x0c02e381,0x21dc8550,0x6402d230"
3,bit13_m916a56aa,38,12,129,83,46,"0x00000000,0x00000400,0x00040000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000004,0x01400108,0x02f2c501,0x71cde21c,0x5e86ab27,0x8f06866a,0x55b2609c","0x004a0410,0x85042640,0x305f050e,0x4ee1340d,0x04808844,0x68618420,0x2d3358fc,0x440a45f0"
4,bit13_m916a56aa,38,12,122,84,38,"0x00000000,0x00040000,0x00000000,0x00000002,0x00000000,0x00000400,0x00000000,0x00000000,0x00000000,0x90001000,0x40440800,0x2f1b128c,0x60b229fe,0x82209561,0x6d21a06d,0x0839a1b2","0x08400008,0x44074249,0x00c298aa,0x64942127,0x602c1b21,0xc544c845,0x9d062899,0x98c40f2a"
5,bit13_m916a56aa,39,12,130,86,44,"0x04000000,0x00000000,0x80000000,0x40000000,0x00000000,0x00000000,0x00000000,0x00000020,0x00000000,0x00000000,0x00000400,0x95dad052,0xeee9e74b,0x7fc134ac,0x89e44fd9,0x923e719e","0x02202010,0x8208294b,0x04007f68,0xb9e1297c,0x00830484,0x2c038262,0xc20c64e1,0x07337665"
6,bit13_m916a56aa,39,12,148,81,67,"0x00000000,0x00000000,0x00000000,0x00008000,0x00000000,0x00002000,0x00000000,0x00000010,0x00000000,0x00010000,0x40002000,0x21ef8cc3,0xc4da45b7,0x4ee0f303,0xbe58e2a6,0x23a31b46","0x00200431,0x05b034b0,0xbc4023c1,0x2b121013,0x40812006,0x84400101,0xc3628ea7,0x69e84eb8"
7,bit13_m916a56aa,40,12,136,78,58,"0x04000000,0x04000000,0x00002000,0x08200000,0x00000100,0x00000000,0x00008010,0x00000000,0x00000010,0x00000004,0x000000c8,0x7c06e404,0x8dfc7e2c,0x94afd872,0x58391deb,0x753cb491","0x40c00014,0x19e11a45,0x49091568,0x8280409c,0x1020a800,0x0d134840,0xc25ab994,0x1e0c85c8"
8,bit13_m916a56aa,40,12,130,93,37,"0x08000000,0x00000000,0x00000000,0x00000000,0x00000040,0x00000000,0x00000000,0x00000000,0x01000000,0x00800000,0x00000100,0x6fc7eed5,0xc86b52fe,0xa75c0141,0x343a6b76,0xc0691eec","0x0c822401,0x27108c0e,0x8e6db159,0x8e407c69,0x20010000,0x613a46c4,0xd5850845,0xc8acde1e"
9,bit13_m916a56aa,40,12,120,85,35,"0x00000000,0x00100000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000100,0x00000000,0x00000000,0x88004150,0x568006d9,0xc2530297,0xfdc00250,0x4465e626,0x487a9fa2","0x10a01001,0x01d84012,0x62840256,0x3080c596,0x000460c8,0x3a252b70,0x2b7e0326,0xc317ab92"
10,bit13_m916a56aa,40,12,130,83,47,"0x00000000,0x00000004,0x04004008,0x00000000,0x00000000,0x00000000,0x00008000,0x00000000,0x00000000,0x00000000,0x01801860,0x17188203,0x4483d09a,0x2889daac,0xb1470b55,0xaec3e751","0x18000750,0x1a26a799,0x21194601,0x52055b48,0x42080000,0x181b026e,0x924b04d4,0x0ba1307c"
11,bit13_m916a56aa,40,12,124,90,34,"0x00000000,0x04000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00080000,0x00000000,0x00000000,0x00000020,0xd0208802,0xef1940c9,0x4a752a4c,0xec9963f4,0x9dbc88d7,0xbb99307c","0x02000004,0x42fe0728,0x112b9ca0,0xacc27620,0x08904880,0x12562b21,0x289d5cc5,0x28ed9d4c"
12,bit13_m916a56aa,40,12,128,94,34,"0x00000000,0x00000000,0x00400040,0x00000000,0x00000000,0x00000000,0x00200000,0x00000000,0x00000000,0x00000008,0x00800000,0x089522aa,0xef371386,0xe9e19eb5,0x1921c711,0x6c00383d","0x502140c1,0x02b5a2a7,0x50a0018a,0xa0e61ea0,0x0a8c0000,0x06135235,0xc381639d,0x8caff2ab"
13,bit13_m916a56aa,40,12,132,94,38,"0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00400000,0x00008000,0x00000000,0x00000000,0x00000000,0xc0000000,0xc7ec0006,0xc24a2cad,0x8a03ff81,0xe949dc84,0xc5d782aa","0x02000842,0x58129a81,0x4b9afd46,0x78666da4,0x60c02021,0x2a780b13,0x0eaac2cd,0x8270880b"
14,bit13_m916a56aa,41,12,124,81,43,"0x00000000,0x00000000,0x00000400,0x00000000,0x00000000,0x00020000,0x00000040,0x00000000,0x00400000,0x00000000,0x0a000904,0x95803fc3,0x9a282eee,0x0c18e1ae,0x12ca9073,0xc4fede78","0x42080000,0x2df83116,0x482ec581,0xc7e48a78,0x00200450,0x59206033,0xa0940686,0x62a42304"
15,bit13_m916a56aa,41,12,141,91,50,"0x00400000,0x08000000,0x00000000,0x00000000,0x00000001,0x00000004,0x00000000,0x00000024,0x00000000,0x00100400,0x81000204,0x785cc821,0x3bd7cc25,0xbc6a1a90,0xd5351cfc,0x057c8202","0x48101240,0x087eecb2,0x424809e6,0x08b5912d,0x30020082,0xab422014,0x23fadc04,0x5fe48492"
16,bit13_m916a56aa,41,12,124,91,33,"0x0000000c,0x00000000,0x00010000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x02000000,0x00000000,0x10000048,0xda92f184,0x71792577,0xa97bb19f,0xfaedb021,0xfd88a96b","0x5c800211,0xa448222a,0xda86e204,0x674f4877,0x0000c108,0x49993051,0x88420aaf,0x84a9d2e8"
17,bit13_m916a56aa,41,12,120,86,34,"0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00002000,0x02000000,0x00000000,0x00000000,0x00400008,0x01211000,0x4821cf40,0xfcc37a3f,0x4e863193,0x7364e0eb,0x1bd680c4","0x040c8009,0x0ed288b2,0x91df4004,0x6242e179,0xa00000c2,0x2c1b0847,0x0a845c46,0x301dd944"
18,bit13_m916a56aa,41,12,131,85,46,"0x00100000,0x00005800,0x01000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000100,0x00000020,0x00004000,0x04003040,0x30b0caba,0x7a9058f2,0x2b548c41,0x6de3552f,0x2a0d5bde","0x01014800,0x02c54c40,0x0370927c,0x108a916e,0x34200021,0x31470c38,0x490860d4,0x65dc9af6"
19,bit13_m916a56aa,41,12,118,82,36,"0x00004000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00008000,0x00000000,0x00000000,0x00000000,0x38228028,0xd643f467,0x4a1d5fa0,0xaaaee39c,0x037ed480,0x919c5ad1","0x01292082,0x00410909,0x1280264a,0x51533e12,0x7a000015,0x2a424800,0x276be8a1,0x2e5096b3"
20,bit13_m916a56aa,41,12,142,73,69,"0x00000000,0x00000100,0x00000000,0x00000000,0x00000020,0x00110000,0x00000000,0x00000000,0x00000001,0x00040000,0x84801861,0xc8d0a523,0x52235a11,0x4afcc291,0x53e1f973,0xebe98617","0x04200029,0x59401890,0x001d1713,0x9851c741,0x00102200,0x1161a800,0x1380304a,0x33d7700c"
21,bit13_m916a56aa,41,12,136,83,53,"0x00040000,0x00000000,0x00000000,0x00000001,0x00000000,0x00200000,0x00000000,0x00000000,0x00000001,0x00008080,0x04020050,0xdc310f97,0x206d5ef0,0xe78a0b79,0xb0026d94,0x9d314ab4","0x60002002,0xcc980748,0x50588751,0x92687823,0x10420820,0x889d0b8d,0x34c12331,0x48f0c40a"
22,bit13_m916a56aa,41,12,118,82,36,"0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00200000,0x00000000,0x00000000,0x00000000,0x00040000,0x00030010,0xfdf105de,0xff00801c,0x3301011c,0x30626dc4,0x8cd90e78","0x00829693,0x800a92b0,0x54f7a220,0x29262283,0x02100000,0x0c451106,0x14d88ce2,0x13355174"
23,bit13_m916a56aa,41,12,135,92,43,"0x40000000,0x00000000,0x00000000,0x00000001,0x00000000,0x00000000,0x00000010,0x00000000,0x00000000,0x84000000,0x04280000,0x580101ea,0x17826fd0,0x47c27e84,0x99c61654,0xcce79302","0x2012a016,0x2b82d007,0xacc35584,0x739eec46,0x08040001,0x09800983,0x0d80403d,0xe53edf60"
24,bit13_m916a56aa,41,12,128,83,45,"0x00000000,0x20000040,0x00000000,0x00000000,0x00000004,0x00000000,0x00000000,0x00000000,0x00008020,0x00410002,0x000a0000,0xb91274c8,0x20e3130b,0x0fec5f0a,0x5903211a,0xc65b7195","0x10104400,0xe518453c,0xab83689e,0xc1d1d398,0x44a10240,0x1220c2d0,0x06121122,0x0d234c10"
25,bit13_m916a56aa,41,12,132,87,45,"0x00000100,0x00000000,0x00800002,0x00000000,0x08000000,0x08000000,0x00000000,0x00000000,0x00000000,0x00000000,0x20100060,0x000c47b9,0x60f30736,0xf38342fa,0x1b4ffc84,0xd03e958b","0x04800000,0x7281b10f,0x5411a281,0xa318e395,0x00481801,0x8d440c00,0x1a7f0c9c,0xa0c5ffc4"
26,bit13_m916a56aa,41,12,132,77,55,"0x00000001,0x00000000,0x00000000,0x00000002,0x00000000,0x00000000,0x00000000,0x00004000,0x00200000,0x04000000,0x40300480,0x35a6a592,0x7dffca46,0xea1325e4,0xfb2b7da9,0xfaf24eba","0x88420001,0x0130980b,0xff18102c,0x0ec4429f,0x00408228,0xc4080898,0x2404ae0c,0x01148cb7"
27,bit13_m916a56aa,41,12,129,91,38,"0x00000000,0x00000000,0x00000000,0x00010000,0x20000000,0x00000100,0x00000000,0x00480804,0x00000000,0x80000000,0x20000820,0x08211a18,0x98634bab,0x46c048ab,0xc5ed8cb2,0x6cd5b137","0x04240411,0x8245b748,0x0ca4bd2f,0x97adc1e6,0x10116080,0xc010001b,0x82410431,0x773116e5"
28,bit13_m916a56aa,42,12,130,82,48,"0x00000000,0x00000000,0x20000000,0x00000000,0x10000000,0x00000000,0x00000000,0x08000000,0x00000000,0x00002000,0x1040a080,0xca48f72f,0xabd201d4,0x88caf180,0x4b9f618d,0x3f4710d8","0x38014441,0x56951607,0x00086058,0xa23da499,0x00888000,0x08600090,0x2b80df61,0xd6317839"
29,bit13_m916a56aa,42,12,123,88,35,"0x00000000,0x10000000,0x00000004,0x00000000,0x00000000,0x00000000,0x00000100,0x08000000,0x00000000,0x08000000,0x01040840,0xd48806cd,0xc19d4730,0xbc5058d3,0x069021f6,0x6abb0ea8","0x02008808,0x282f0c27,0x89128344,0xf0a90216,0x80282602,0xc636c80b,0x8489e49c,0x46dac934"
30,bit13_m916a56aa,42,12,117,88,29,"0x00000000,0x00000000,0x00000000,0x00000000,0x00080000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x83080010,0x60535f14,0x2ccdcf0f,0xe33f16b8,0x538e0256,0x46032208","0x21010182,0xc0801011,0xd580038a,0x9d2b86c7,0x0880c801,0x02814eda,0x271319dc,0xb95d40a3"
