record,candidate_id,input_hw,rounds,start_hw,best_hw,improvement,best_m2,best_state_diff
1,bit13_m916a56aa,35,24,141,98,43,"0x00000000,0x00000000,0x00000000,0x00000000,0x00200000,0x00000000,0x00100000,0x00000000,0x00000000,0x00080000,0x00a00000,0x11000000,0x00000001,0x00000000,0x00000000,0x00000040","0x01357302,0x880388d4,0x081e8017,0x0b9230cd,0xf64abe16,0x88c64508,0xa4406c1c,0x12de19c5"
2,bit13_m916a56aa,36,24,133,103,30,"0x00000004,0x00000000,0x00000000,0x00000810,0x00004000,0x00000800,0x00000020,0x00000000,0x00000000,0x08000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000040,0x00010000","0x60c6b860,0x4168b092,0x9a960959,0x45cd6e50,0x6b3c5214,0x858a4909,0x7db64a38,0xe1450404"
3,bit13_m916a56aa,38,24,139,101,38,"0x00000000,0x00000000,0x00000000,0x00000400,0x00000000,0x00008000,0x00001008,0x00000000,0x00800080,0x00000000,0x00000000,0x00000000,0x00001000,0x20000000,0x00000000,0x00000000","0x33982729,0x8d054b71,0x4ca13559,0x7004629c,0x08892748,0x79602128,0x60d59247,0x921a31d2"
4,bit13_m916a56aa,38,24,126,100,26,"0x00000000,0x00100000,0x00000000,0x00000000,0x00004000,0x00000000,0x00000000,0x00000000,0x00010000,0x00000090,0x00002000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000","0x24a00502,0x8c8c0802,0xc892a17e,0x6be51c05,0xab378b56,0x2daf1089,0xd561121a,0xc2e22048"
5,bit13_m916a56aa,39,24,121,103,18,"0x00000000,0x00005000,0x00002000,0x04000000,0x40000000,0x00000000,0x00000040,0x00000000,0x08000000,0x00000000,0x00000000,0x00000000,0x08000080,0x00000000,0x00000000,0x00020000","0xd20b8a38,0x9256cea8,0x071b1737,0x9c81009f,0xd802a4e8,0x2c0c9049,0xf1184028,0x51fb1548"
6,bit13_m916a56aa,39,24,139,100,39,"0x00000800,0x00000000,0x02000080,0x04000000,0x00000000,0x00000000,0x00000000,0x00000040,0x00400200,0x00000004,0x00000088,0x00000000,0x00000000,0x04000000,0x00004000,0x00000000","0xa5c22030,0xa18172a1,0x10482063,0xc4f8a725,0x9e13e032,0x64852ac4,0x30fe8c98,0x58a94172"
7,bit13_m916a56aa,40,24,122,102,20,"0x00000000,0x00000000,0x20000000,0x00000000,0x00000000,0x22000000,0x00000000,0x00020000,0x20100000,0x00000000,0x00100000,0x00000000,0x00000000,0x00000000,0x08000000,0x00000000","0x86b11a1d,0xe0420a74,0x0d2cea38,0x4516ee01,0x0a251288,0x181a0bd9,0x26589303,0xc7f28e03"
8,bit13_m916a56aa,40,24,135,99,36,"0x02000000,0x00000200,0x00000000,0x04000810,0x00400010,0x00000200,0x00000000,0x00004000,0x00000000,0x00000000,0x10000000,0x00001000,0x02040042,0x00000000,0x00000118,0x00000000","0x008c8148,0xb38050ee,0x1c81c109,0x7907e599,0x86d18da8,0x069d8880,0x7a18c786,0x524a82e2"
9,bit13_m916a56aa,40,24,131,98,33,"0x00000000,0x00000002,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00100000,0x00000000,0x00040000,0x00000000,0x00000000,0x00000000,0x00000000","0xb24424cf,0xa2a2919f,0x444c5223,0xe48c0508,0xb515b898,0xf4262da0,0x00304d02,0x14ae00b3"
10,bit13_m916a56aa,40,24,124,98,26,"0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00041000,0x00002000,0x00000000,0x00000000,0x00000200,0x01000000,0x00000040,0x00000000,0x00000000,0x00000000,0x00008000","0x08121a21,0x2900c332,0x5a133180,0x37074e08,0x22f72f0a,0x5826f381,0xa588814a,0xace42c1d"
11,bit13_m916a56aa,40,24,138,97,41,"0x00000000,0x00000000,0x00000010,0x00000000,0x00000000,0x00000000,0x02000082,0x00000000,0x00000008,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00008000","0x24209401,0x07515635,0xfb6b0a39,0x444b201f,0x2315d215,0x2d014524,0x183cc004,0x8c60d19e"
12,bit13_m916a56aa,40,24,132,97,35,"0x40000000,0x00000800,0x00000100,0x00800000,0x00000000,0x00000000,0x00000400,0x00000000,0x00020000,0x00002000,0x00000000,0x40000000,0x00001100,0x00000000,0x00000000,0x00004000","0x1a9c7900,0x32048230,0xb6d11005,0x4e245454,0x00eb3c77,0x09c6310c,0x842a80c7,0xfb249342"
13,bit13_m916a56aa,40,24,125,102,23,"0x00000000,0x40000000,0x00000000,0x00040001,0x00000040,0x00040000,0x00000000,0x00000000,0x00000000,0x08000000,0x00000200,0x00020000,0x00000000,0x00000000,0x00000008,0x00004000","0xb51182cc,0xe7a36282,0x9c26e800,0x28c2e01a,0x894801e7,0x73260120,0xbb413142,0xbcea41f1"
14,bit13_m916a56aa,41,24,138,98,40,"0x00004001,0x04002000,0x10000000,0x00010000,0x00000000,0x00000000,0x80000000,0x00000000,0x00200000,0x00000100,0x02000400,0x00000000,0x00000000,0x08000000,0x00000000,0x00400020","0x1025928a,0x70216552,0x400fd0b0,0x04cc872f,0x1968bc04,0x302c145b,0xa54294c8,0xc08b3c5d"
15,bit13_m916a56aa,41,24,133,104,29,"0x20400000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x02000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000","0x53b841c9,0x9292e368,0x645a7d34,0x2035b490,0x543c067d,0x6023ce79,0x82111850,0x0a8ca4a1"
