record,candidate_id,input_hw,rounds,start_hw,best_hw,improvement,best_m2,best_state_diff
1,bit13_m916a56aa,35,12,134,79,55,"0x00000800,0x00000002,0x00004000,0x00800000,0x00000000,0x00000000,0x02000000,0x02000000,0x00800000,0x00010801,0x10094042,0xd86af12f,0x64bcffbb,0x2d345892,0xcb68cc9a,0xdd053c34","0x21282000,0x4b801828,0x048b5192,0x417b1c07,0x84019149,0x2a0e3880,0x00855017,0xc0724171"
2,bit13_m916a56aa,36,12,135,85,50,"0x00000000,0x00000000,0x00000000,0x40000800,0x00000000,0x20000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000888,0x287348fc,0x6b2a0087,0x4f8cb3ce,0x07eaa117,0xedb96fd3","0x07401004,0x1d1192e4,0x07c31260,0xae70d9b1,0x40084210,0x53c00020,0x05230e62,0x19a7d449"
3,bit13_m916a56aa,38,12,129,80,49,"0x00000000,0x00000000,0x00000000,0x00000000,0x00000010,0x04000000,0x00000000,0x00000000,0x00000080,0x00020000,0x64400001,0xa4010e45,0x083f3709,0xa9ede8f2,0xd00b1816,0x9ca19c7e","0x0004000e,0x7114b0a9,0x5c46d853,0x6e294680,0x14400440,0x82948c2e,0x30841833,0x0a30b108"
4,bit13_m916a56aa,38,12,122,79,43,"0x00000200,0x00000000,0x00000008,0x00000000,0x00000000,0x00000000,0x00010000,0x00000000,0x00000100,0x00000050,0x00000004,0xe5000d41,0xfa7f3f6b,0x7ce10a2d,0x1ed1eb8e,0xf6c553b5","0x08120440,0x001b2e12,0xb013c139,0xcd3014ee,0x25006000,0x85a21002,0x304636a7,0x40360113"
5,bit13_m916a56aa,39,12,130,92,38,"0x00000000,0x00000000,0x02000000,0x04000000,0x00000000,0x00000000,0x00000000,0x00000800,0x00000000,0x00000000,0x20810a00,0xfc112e30,0x6d64c072,0xecbb63c4,0x8f53466e,0x8a486a12","0x83031002,0x1a084886,0x2c00028a,0x403b460c,0x10402042,0x3d191a65,0x82dd3f92,0x2deb8bf7"
6,bit13_m916a56aa,39,12,148,90,58,"0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00008800,0x00000000,0x00000000,0x0140210c,0xf8a00c70,0x9148e0ba,0x08d10582,0xaf020963,0xeb1d2102","0x08808948,0x25091420,0x8172228a,0x42da25aa,0x42206400,0x98500640,0x3a016d74,0xfa6fe2ee"
7,bit13_m916a56aa,40,12,136,81,55,"0x00000000,0x00000000,0x00008200,0x00800000,0x00000000,0x00001000,0x00000200,0x00000000,0x00000000,0x00800000,0x06870480,0x38e2f69d,0x7108f2e3,0x3cc515cc,0x655895b7,0x7d762196","0x00942002,0x13008f06,0x432e74e5,0x642c2500,0xa40104a0,0x914b858d,0x18281d02,0x50250758"
8,bit13_m916a56aa,40,12,130,92,38,"0x00000000,0x00010000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x15242e61,0x3250cd16,0x27928997,0x16b3d8f3,0xa0a88bd2","0x20100800,0x920a0986,0x2b5f8780,0x4780abb6,0x44050684,0xe948640b,0xa2621694,0x1b6a8f68"
9,bit13_m916a56aa,40,12,120,83,37,"0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00200000,0x00000000,0x10200008,0x4c050205,0xc84c1d76,0x43a76840,0xb7b5b970,0xc3441328,0xaf7e7f09","0x04820801,0x00cd34c1,0x01cb2024,0x65a2b23d,0x48200060,0x4152f02a,0x8927d2a3,0x50581740"
10,bit13_m916a56aa,40,12,130,80,50,"0x00010000,0x00010020,0x00000000,0x00000000,0x04000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000260,0xaa000203,0x0f1622ae,0x1e7e96c5,0xb36128f8,0x690da0dd,0xb311b928","0x040086a2,0x814c0478,0x44b26608,0xd916de62,0x40444804,0x091a2142,0xb8200142,0x181c6d41"
11,bit13_m916a56aa,40,12,124,84,40,"0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x10200000,0x00000040,0x50342000,0xb910fab6,0xe001d184,0x2382f6a3,0xc245577f,0x531bdf4d","0x78406000,0x80532479,0x5d0008c6,0xf3444d58,0x008c0288,0x22000445,0x52347189,0x4f5070ad"
12,bit13_m916a56aa,40,12,128,85,43,"0x00000004,0x00000000,0x00000008,0x00000000,0x00000008,0x00000000,0x00000000,0x40000000,0x00000000,0x00000000,0x02048008,0xeb9cd085,0x49018a4e,0xe6293b8c,0x487e10f7,0xf649a39e","0xa1102020,0x3380b290,0xab28a3b0,0x6c90410b,0x04020808,0x88824c15,0x3358ed8e,0x15cae120"
13,bit13_m916a56aa,40,12,132,84,48,"0x00200000,0x00000000,0x00000200,0x00000000,0x00000000,0x00000000,0x0000a000,0x20000000,0x00000000,0x00000000,0x0002a006,0x42f465b8,0xebdf0a04,0x9563e7a4,0xf23e3276,0x5712a140","0x50004324,0x711a62e3,0xe8004831,0x88829b31,0x02c08000,0x92d81528,0x64210a80,0x7e81337a"
14,bit13_m916a56aa,41,12,124,84,40,"0x00200000,0x00000000,0x00000000,0x00000000,0x00000000,0x00001000,0x00000000,0x00000000,0x00000000,0x40000100,0x10040008,0x03322c38,0xdb18589c,0xc42c94dd,0x98d89195,0x60c9fb48","0x00021240,0x44005130,0x685915b9,0x80900834,0x4080200a,0x61d43a47,0x8433d9d2,0x04956e7b"
15,bit13_m916a56aa,41,12,141,91,50,"0x00000000,0x00000000,0x00000000,0x00000080,0x00000801,0x00000000,0x00000000,0x00000000,0x02400080,0x00000000,0x02020401,0x0f08d206,0x3311814d,0x4de9c247,0xcb20f5bc,0xb22cd5a5","0x20400120,0x00eb1712,0x48b98082,0x355427ad,0x82085049,0xe79425f0,0x0cf61581,0x297290e0"
16,bit13_m916a56aa,41,12,124,93,31,"0x00000000,0x00000200,0x00000000,0x02000000,0x00080000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000001,0x04402002,0x60511a75,0xdd56dd24,0xd4e03ee6,0x54df81fe,0xe9e3b82d","0x90000320,0x6cc4628c,0xa0a66b62,0x1544ae9c,0x00012804,0x1c150bcc,0x87e5b0a1,0x93ccb701"
17,bit13_m916a56aa,41,12,120,86,34,"0x00000000,0x00000000,0x00000000,0x00080080,0x00000000,0x01000000,0x00000000,0x00000000,0x00000000,0x80000000,0x91100028,0x8183020a,0x917bc4a0,0xdd022c55,0x335bf7b1,0x5e6646b9","0x02821880,0x009e22cd,0x5a0f55f7,0x9d8c4818,0xa844a208,0x4604805a,0x0900901b,0x4a002a6d"
18,bit13_m916a56aa,41,12,131,91,40,"0x00001000,0x00000000,0x00000000,0x00000100,0x00080000,0x00000200,0x00000000,0x00000000,0x00000100,0x00004000,0x001000a0,0x3b0b5c17,0x9612a885,0xc7bedc25,0x964d41d3,0xe1e23084","0x10081204,0x97004c64,0x1cd28821,0x761e24cf,0x60201043,0x42335893,0x6a1c0886,0xfb01a917"
19,bit13_m916a56aa,41,12,118,89,29,"0x00000000,0x00000000,0x00000000,0x00000000,0x00004000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x40848000,0xa2aa843c,0x1c45d27c,0x16f58524,0xa1d5f2bc,0x7f1756f3","0x54000809,0x79324aa4,0xb1219904,0x5a016b30,0x20120480,0xa2c208a3,0x65d50e27,0x074e2297"
20,bit13_m916a56aa,41,12,142,88,54,"0x00000000,0x01000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00004000,0x00020000,0x00008000,0x320e5f79,0x7872870e,0x942fe087,0x5a5f4222,0xa2f8a681","0x02000809,0x1589e2e5,0x88481703,0xe0035422,0x681100c2,0x420d0066,0x3c068ddc,0x27f7882e"
21,bit13_m916a56aa,41,12,136,88,48,"0x50000000,0x00000000,0x00000808,0x00000000,0x00000000,0x00000000,0x00001000,0x00000000,0x00000000,0x00000400,0x40000200,0x02a280ce,0x00210e47,0x2ad88d6d,0x288a9554,0x1d96f835","0x04884286,0x0134cb07,0x9eb90400,0x520f0081,0x08222420,0xcf1408bc,0xe8a10bc7,0x1f149c60"
22,bit13_m916a56aa,41,12,118,81,37,"0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x20000000,0x01000000,0x00400000,0x00000240,0x40400041,0x8362d774,0x46f180c5,0xbca66b68,0x50843655,0xdf2ae199","0x01200100,0xa00145c0,0x3cc80216,0x94e0e911,0x18802821,0x05553417,0x538b7a64,0x26400a8e"
23,bit13_m916a56aa,41,12,135,82,53,"0x00004000,0x00000000,0x00010000,0x00000040,0x01000000,0x00000000,0x00000000,0x00204000,0x00000000,0x00002100,0x12014010,0x10810061,0x12274f2d,0xd8b9c645,0x5ade8b7c,0x219369fd","0x48010201,0x045c5684,0x2e02b106,0x28e81361,0x20a20830,0x4e40b6c8,0xd5208108,0xbd690382"
24,bit13_m916a56aa,41,12,128,93,35,"0x00000000,0x04000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000014,0x00000000,0x00000000,0x00000000,0x00020040,0x8ca86f00,0x5f0df7cd,0x57e74f10,0xd45612de,0x84f3f57a","0x20008041,0x1a14821c,0xb2804515,0x280fab62,0x40a00511,0xd66d2962,0x3db84a08,0x93e87cb3"
25,bit13_m916a56aa,41,12,132,90,42,"0x00000000,0x00000000,0x04000000,0x00000002,0x00000000,0x00000000,0x00000000,0x20008000,0x00000000,0x00000000,0x00000002,0xfa843204,0x5662083b,0x22faa29b,0x090f7aad,0xaf70fd76","0x86000884,0x2aae4520,0xb702e8a4,0x4a012a3e,0x00424602,0x6820b464,0x75471c1c,0x724a59a8"
26,bit13_m916a56aa,41,12,132,89,43,"0x00000000,0x08000000,0x00000004,0x00000000,0x00000000,0x00000100,0x00000000,0x00000000,0x00000000,0x82024000,0x00040011,0x1d8d03c2,0xb38ee1bc,0x06e0d632,0x3d066ffa,0x973f3fe0","0x2000a202,0xb4160426,0x28cd54b4,0xb0b068cc,0x50205400,0x2a60a856,0x44587ea8,0x16b14b49"
27,bit13_m916a56aa,41,12,129,92,37,"0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00020002,0x00000000,0x00000000,0x00000000,0x00100004,0xc1357789,0xe827f227,0x5ec53e00,0x56ea16c0,0x63fd6f11","0x08100402,0x0286aaac,0xf81e6d02,0xc44bf920,0x00429130,0x7c4068a2,0x26a6681d,0x2c36eb08"
28,bit13_m916a56aa,42,12,130,90,40,"0x00000000,0x08080000,0x00004000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00400000,0x04001000,0x00014201,0xa1a30489,0x39c2ee46,0xc8a342a4,0x6b1c3363,0xe20d58d7","0x00000800,0xb2859d34,0x3950281c,0x6970a210,0x2114a420,0x106450a2,0x1dc00d73,0x5b9ecbf6"
29,bit13_m916a56aa,42,12,123,89,34,"0x00000000,0x00000000,0x00000000,0x00000500,0x00000080,0x00000000,0x00000000,0x00000000,0x00000040,0x80080000,0x10030100,0x7b0ab6e8,0x23d6ee74,0xe2d16e93,0x87173248,0x992b9d13","0x010a9080,0x04a92659,0x9d828d8f,0x70193621,0x04c0001a,0x12116d12,0x2fe836be,0x60043180"
30,bit13_m916a56aa,42,12,117,86,31,"0x00000000,0x00004000,0x00000000,0x00000000,0x00000000,0x00000002,0x04000000,0x00000000,0x00000000,0x00002000,0xc600c000,0x9e702240,0x9f144f77,0xdc281218,0x22ff9254,0x8c981c7f","0x18088ac0,0x1d45b149,0x044909db,0xac886f89,0x41402008,0x4cc0e845,0x8822180c,0x04d942c3"
31,bit13_m916a56aa,42,12,119,91,28,"0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00200000,0x00000000,0x00000000,0x00000000,0x82000000,0x01a001dd,0x4fb0fd2e,0x168acd53,0xb4b37df2,0xe56b40db","0x10014260,0x8c049452,0x4e02516e,0xe430b6d3,0x00120008,0x09501054,0x0ac7285f,0xbf25967b"
32,bit13_m916a56aa,42,12,129,85,44,"0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000100,0x00000000,0x00100000,0x00020080,0x680d7e88,0xccfa66c3,0x07455fa4,0x01fdb598,0x3d7d3f5b","0x08000200,0x0184cb0d,0x4d8ce327,0x9a397425,0x02489820,0x94180d43,0xe5094d11,0x218310e8"
33,bit13_m916a56aa,42,12,130,84,46,"0x00000000,0x00008000,0x00000000,0x00000000,0x00000000,0x20000000,0x00000000,0x00000000,0x00000000,0x10000000,0x4002c000,0xf3b85d23,0x8cd2816d,0x085b6e5e,0x918a311d,0x91946275","0x21102020,0x50217008,0xb4422821,0x177039b4,0x00800003,0x2e427111,0x81d6975c,0xd38e604b"
34,bit13_m916a56aa,42,12,124,84,40,"0x00000000,0x00000000,0x40000000,0x00080000,0x00000000,0x00000000,0x00000002,0x00000000,0x00000000,0x00000020,0x00000540,0x34d062cf,0x826ea9bf,0xf2f665b6,0xcbe30e1e,0xa58fc3da","0x01000006,0xd0198880,0x55526840,0x9e198887,0x4240b440,0x127f0c26,0x35451701,0x2556d428"
35,bit13_m916a56aa,42,12,128,87,41,"0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x01000000,0x00000080,0x00000000,0x0c802000,0xb1623ff7,0x61d7e6a4,0xa9ca2e99,0xc6fe5d5d,0x8c1bf6a6","0x48002040,0x95824ed5,0x31100e5b,0x9688ff35,0x0042810e,0x89150800,0x82a7da04,0xcac04548"
36,bit13_m916a56aa,42,12,113,95,18,"0x00000000,0x00400000,0x20000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000020,0x00c0b262,0x64c02b58,0xa34d6a8e,0xd239b302,0x999e7f2f","0x0c020504,0xc97b3d70,0x971091d4,0x86c13423,0x40002083,0x9e438704,0x872d302d,0xd628e264"
37,bit13_m916a56aa,42,12,120,87,33,"0x00000000,0x00000000,0x00000000,0x00000000,0x08000010,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x40100000,0xb75c90eb,0xfd246f06,0x7fbd567f,0xdf0b11ac,0x13c860a8","0x00044801,0x015ad0f2,0x5d0fc985,0x5362c249,0x49088228,0x8a818083,0x44772124,0xcb3a0e00"
38,bit13_m916a56aa,43,12,122,84,38,"0x00000000,0x00000000,0x00000000,0x00000000,0x00800100,0x00000000,0x00000000,0x01000000,0x00000000,0x00002000,0x44088000,0x21d09816,0x9b1b29fc,0x275c3701,0x3cae0ec2,0x1fc05515","0x01126202,0x48501023,0xeed807df,0x8b0448b6,0x00001440,0x1872f28c,0x00352984,0x88612913"
39,bit13_m916a56aa,43,12,117,86,31,"0x00000000,0x00000000,0x00000000,0x00000040,0x02004000,0x00000000,0x00100000,0x00000000,0x00000000,0x02000000,0x10800005,0x6880457b,0xf6c34245,0x783ea9b5,0xda9515f6,0xb21d43f0","0x16020010,0x86491012,0x5a46613f,0x71055002,0x002018c6,0x499a5455,0x0c426630,0x39a4bc27"
40,bit13_m916a56aa,43,12,130,83,47,"0x00000000,0x00000020,0x00000000,0x00000008,0x00000000,0x00000000,0x00000000,0x00000004,0x00000000,0x40000001,0x20200000,0x30cfbbf0,0x24dc3fad,0x64eed136,0xea16e2f8,0xd90e599b","0x2110080d,0x080634a8,0xd64ac2a3,0xa692d502,0x04048002,0x0a0016f7,0x48c4fc52,0xcc910300"
