record,candidate_id,input_hw,rounds,start_hw,best_hw,improvement,best_m2,best_state_diff
1,bit13_m916a56aa,35,20,131,101,30,"0x00000000,0x00000000,0x00000080,0x08004000,0x00020000,0x00000000,0x20000000,0x00000000,0x00000000,0x00000000,0x10000000,0x00000000,0x00000000,0x00000000,0x00000000,0x02000000","0x1a2c14a8,0xa7c453a6,0x7d00e2cb,0xb166540a,0x9a303094,0x2b014134,0xc90f5111,0x1d84ca0a"
2,bit13_m916a56aa,36,20,130,100,30,"0x00000000,0x00001040,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00080000,0x00000000,0x00000000,0x00000000,0x00000004,0x00000000,0x01000000,0x00200000","0x19945434,0x128ca40e,0xb628e448,0x8c3d10cf,0x28c53056,0x0a63d123,0xba2c0d4a,0xc00ee104"
3,bit13_m916a56aa,38,20,136,100,36,"0x40000000,0x00008000,0x00000000,0x00040000,0x00000008,0x00100000,0x00100000,0x40000000,0x00000000,0x00100080,0x00000000,0x02040000,0x00000000,0x00080080,0x000000a0,0x00000001","0xae06a408,0x8d220008,0xabcb8115,0x168ba69d,0x04888114,0x67795383,0x44f05401,0xfd507c62"
4,bit13_m916a56aa,38,20,123,95,28,"0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000008,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x20000010","0xe880a8c8,0x1025edf8,0x80008407,0x92504841,0xf6d98902,0xe156d7de,0xc7884322,0x504c0110"
5,bit13_m916a56aa,39,20,124,102,22,"0x00000000,0x00000000,0x01000000,0x10000000,0x00000000,0x00000000,0x00000002,0x00200000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000080,0x00000100,0x00000000,0x10008000","0x031a5084,0x10b9c811,0x7fd007d2,0xa8fc0968,0x52c44305,0x04372451,0xf70d3288,0x80e929e9"
6,bit13_m916a56aa,39,20,122,99,23,"0x00000000,0x00000000,0x00081000,0x00000002,0x00000000,0x00000028,0x00000000,0x00000000,0x00010000,0x00000000,0x00000000,0x00200000,0x00000000,0x00000000,0x00000808,0x00000002","0x69829400,0x64807429,0x2367c147,0x8920002c,0x9b306024,0xb575136e,0x8bbe9c02,0x8626e614"
7,bit13_m916a56aa,40,20,126,98,28,"0x00100000,0x4000000c,0x00020000,0x00000404,0x00000000,0x00080000,0x00000000,0x00000000,0x00000000,0x00080401,0x00000000,0x00008000,0x00000000,0x02000000,0x00000000,0x80000000","0x02b74603,0xb3e80033,0x5a5200f4,0x18410b6a,0x06cf24c2,0x340612ff,0x1a4c2b36,0x14208921"
8,bit13_m916a56aa,40,20,127,102,25,"0x00100002,0x10000000,0x00008000,0x00000000,0x00000000,0x08000400,0x00000000,0x00012002,0x00000800,0x00000000,0x90000008,0x00000800,0x00000006,0x02000400,0x00000000,0x00000000","0x3c58a626,0x59271025,0xe5240b81,0x565606ce,0x3aa68a25,0xa1b14b02,0x42e28b73,0x03c18014"
9,bit13_m916a56aa,40,20,134,99,35,"0x00000000,0x12000000,0x41208000,0x00000002,0x00001000,0x04000000,0x00010000,0x00000002,0x00000010,0x80000000,0x00000000,0x00000000,0x00000000,0x28080000,0x00009000,0x00000100","0x24b20080,0xe6500bdc,0x6220a745,0x9e306ab2,0x6c1c7e6b,0x0260448a,0x36b21462,0x0090b6d4"
10,bit13_m916a56aa,40,20,114,99,15,"0x00400002,0x00000000,0x0c000000,0x00000040,0x00000000,0x00040000,0x00000000,0x00000010,0x00000000,0x00001000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000","0x64002e18,0x1a0c10be,0x283e2325,0x276ab917,0x2258f100,0x96f12020,0x83b2626c,0x521ac781"
11,bit13_m916a56aa,40,20,129,96,33,"0x00000000,0x20000001,0x00000000,0x00000000,0x00080000,0x00000000,0x00000000,0x08000000,0x00000200,0x08000000,0x00000000,0x00000000,0x00000080,0x10000000,0x00008002,0x40000000","0x4706153a,0x0a0a6461,0x81cb2317,0x498b0d31,0xa4110c15,0x86d4ea1a,0xa000b642,0xd46bd000"
12,bit13_m916a56aa,40,20,144,103,41,"0x00000000,0x00000000,0x00010000,0x00000000,0x00100000,0x00100000,0x00010000,0x00000000,0x00000000,0x00000004,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000","0x58200c89,0xb34dd70b,0x2000a24d,0x8573d003,0xb417f54c,0x0468c192,0x5c8559a1,0x86c8d0f2"
13,bit13_m916a56aa,40,20,133,97,36,"0x00400000,0x00000080,0x00000000,0x00000000,0x80000000,0x00000000,0x00000000,0x00000000,0x08000000,0x01000000,0x00000000,0x00000000,0x00000000,0x00000202,0x00000000,0x08004020","0x816e1046,0x083f9277,0x99939a15,0x31249600,0x64010195,0x1a71516c,0x082c181d,0x22829fa4"
14,bit13_m916a56aa,41,20,134,104,30,"0x00000000,0x00000000,0x00000000,0x00000000,0x02000000,0x00000000,0x00000000,0x00400000,0x08000000,0x00000000,0x00000800,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000","0x80b380ff,0xf8c45c75,0x9932301c,0xcb605034,0x0085013a,0x0f54cba2,0x810301c3,0xf53256c1"
15,bit13_m916a56aa,41,20,130,99,31,"0x00000000,0x00000002,0x01000000,0x00000800,0x00000000,0x00000000,0x00000000,0x00000000,0x00004000,0x00000408,0x00000000,0x00000000,0x00000010,0x01000000,0x04000000,0x00000000","0x34f0a1a8,0xad000008,0xcaff64a7,0x8515a10c,0x89cc1070,0x508c0bf6,0x24745a92,0x783aa200"
16,bit13_m916a56aa,41,20,115,99,16,"0x02008040,0x00000000,0x00002000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000100,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x80000000","0xf4b3b001,0x3e457c71,0x36319cac,0x0fe00351,0x9a848709,0x024511dc,0x06860455,0x03015118"
17,bit13_m916a56aa,41,20,127,101,26,"0x00100000,0x00000000,0x00040000,0x00000001,0x10000000,0x02008000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x40000000,0x00000000,0x20001000,0x00000000,0x00000000","0x67010481,0x1b224dda,0x31058552,0x45c44032,0x02757325,0x17e10013,0xed3b6e00,0x1de0b592"
