record,candidate_id,input_hw,rounds,start_hw,best_hw,improvement,best_m2,best_state_diff
1,bit13_m916a56aa,35,20,131,102,29,"0x00100000,0x00000000,0x00004000,0x00000000,0x00000000,0x00000000,0x20000000,0x00040000,0x00000000,0x00800000,0x00000001,0x10000000,0x04800002,0x00000000,0x00880000,0x00004000","0x452844e8,0xec6b0458,0x0ac33424,0x09107251,0xdf450957,0x2261310e,0x4ce34a91,0x10fc4c96"
2,bit13_m916a56aa,36,20,130,101,29,"0x80000000,0x00000000,0x00000010,0x00000000,0x00000000,0x00000000,0x04000000,0x00020000,0x00000000,0x00000000,0x00000100,0x00100000,0x00000000,0x01000000,0x00000240,0x10000000","0x4e80ee56,0xcb418023,0x24264087,0x3020181d,0x1fb54e1e,0x062112d9,0x234e7856,0x954e4428"
3,bit13_m916a56aa,38,20,136,99,37,"0x00020000,0x00000002,0x00000000,0x00100000,0x00000004,0x00280000,0x00000000,0x00000000,0x00000080,0x00008000,0x00000000,0x00000000,0x04000000,0x00000000,0x00200000,0x18000000","0x8c3e034e,0x10016101,0xe0073311,0x71a053f5,0x99e650c1,0xd810c482,0x088046ed,0xdaf88274"
4,bit13_m916a56aa,38,20,123,102,21,"0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00081000,0x00000000,0x00000000,0x00000004,0x00000000,0x00000000,0x00000002,0x00000000","0x140b10c8,0x93e6435c,0xcd714ec1,0xa556ed63,0x58ac0309,0x17409408,0x09cfc001,0x583384c8"
5,bit13_m916a56aa,39,20,124,101,23,"0x00000000,0x04000100,0x00000004,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000400,0x00000000,0x00000020","0x43a00804,0x44116d63,0xf002a906,0xe3781f40,0xd1608b22,0x0c0e38bb,0xa97409f0,0x6504bfa2"
6,bit13_m916a56aa,39,20,122,101,21,"0x00040002,0x00010800,0x00000000,0x04000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000400,0x00000000,0x00010000,0x00000000,0x00000000,0x00000000,0x00000000","0xa3235338,0xb0ca6d01,0x0118540e,0x01bb41a3,0xdbc09c0a,0x0d469105,0x049d824a,0xd6620d8f"
7,bit13_m916a56aa,40,20,126,101,25,"0x00000000,0x00000002,0x00008000,0x00800000,0x00400000,0x00000000,0x00000000,0x00000000,0x00000000,0x00080080,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000","0x4d1cbe49,0x3f0ad131,0x66760076,0x56004545,0xb44c307c,0x52449781,0xc7542804,0x840131c1"
8,bit13_m916a56aa,40,20,127,100,27,"0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00c00000,0x00000000,0x00000000,0x00400000,0x00200000,0x00003000,0x00000000,0x00000000,0x00000000,0x00000000","0x2c9a3074,0x98a34511,0x115093c2,0x46222073,0x61921084,0xd2de0602,0xad712346,0xf610d26b"
9,bit13_m916a56aa,40,20,134,104,30,"0x00000000,0x08000080,0x00040000,0x10000000,0x00000000,0x00000004,0x00000000,0x00000020,0x00000000,0x00100000,0x00000000,0x00800000,0x01000000,0x00000000,0x00000000,0x00200040","0x198f8e14,0xd17a5023,0x28ec620f,0x175bac10,0x80234b1d,0x3868f025,0x03c84422,0x04c531bd"
10,bit13_m916a56aa,40,20,114,102,12,"0x00000000,0x00000000,0x00000000,0x00000000,0x00000002,0x80000000,0x80000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00004000,0x00000000,0x00000000,0x00002000","0x89a41b86,0x2cc8b400,0x071f303f,0x150096de,0xb4091091,0xc4d84cbe,0xbc08b604,0x894138e4"
11,bit13_m916a56aa,40,20,129,97,32,"0x40000000,0x00000040,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00040000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x40000000,0x00000800,0x10000000","0x70684450,0x62068b0b,0x6394a020,0x792e7062,0x02b0672e,0xe1067529,0x911745b1,0x06220d21"
12,bit13_m916a56aa,40,20,144,102,42,"0x00000000,0x08008000,0x00000000,0x00000800,0x00000000,0x00000000,0x00800000,0x00000020,0x00060008,0x00000000,0x00000000,0x22100000,0x80000000,0x00000004,0x00000000,0x80012200","0x1f7130a0,0x062d2984,0x5dd1d4bb,0x23442f80,0xb1a2a400,0x4fcf0123,0x061000b6,0xaca0e52e"
13,bit13_m916a56aa,40,20,133,102,31,"0x00000000,0x00000000,0x00000000,0x40000000,0x00000000,0x00080000,0x00000000,0x00000000,0x00000000,0x00000010,0x00000000,0x00000004,0x00000000,0x00000002,0x00000000,0x00000000","0x812852a8,0x956b3b4e,0xe52b31e1,0xa712802c,0x1e316856,0x1122a442,0x4adc436e,0x06c01508"
14,bit13_m916a56aa,41,20,134,103,31,"0x01000000,0x00000000,0x00000000,0x10000000,0x00000000,0x00000000,0x00000000,0x08000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000080,0x00140000,0x00000000,0x00000000","0x341200c1,0xf25d55aa,0x632d20cd,0xa530b003,0xf7204b0d,0x58e06a10,0x88587fc0,0x0304ed0d"
15,bit13_m916a56aa,41,20,130,101,29,"0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x04808000,0x00004000,0x00000000,0x02000400,0x00000000,0x00002000,0x02000008,0x00002200,0x00000000,0x00000000,0x00000004","0x240ab679,0x5013cb19,0x09f7583d,0x60005c08,0x35e0481a,0x51a78ad0,0x40cd9b28,0x095082dc"
16,bit13_m916a56aa,41,20,115,101,14,"0x00000000,0x00000000,0x00100000,0x00200000,0x00000000,0x00008000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000210,0x00000000,0x00000000,0x00000000,0x00400000","0x4bc8110d,0x1631a00e,0x1314daee,0xd4b23b12,0xcd090c08,0x59682132,0x927a8564,0x7615800c"
17,bit13_m916a56aa,41,20,127,100,27,"0x00000000,0x00400000,0x00000000,0x00001000,0x00000088,0x00000000,0x00080000,0x00000000,0x00000000,0x08000001,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x10000010","0x44061270,0x41163510,0x2c5ac342,0x050830ad,0x1118f423,0x62883b91,0xaab962e2,0xd7171559"
18,bit13_m916a56aa,41,20,117,101,16,"0x00080000,0x00000000,0x00002000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00400000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00020000","0xc4c81441,0x8ca39d81,0x6135412c,0xa06a1730,0x7d21084b,0x35823a58,0x01c7e4b0,0x5e502d52"
19,bit13_m916a56aa,41,20,119,102,17,"0x00000000,0x00000000,0x10000000,0x00400000,0x00000000,0x08000000,0x00000000,0x00000020,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x80000000,0x00000002,0x00000000","0x26a0b418,0x0d27eb1a,0xc601e3c8,0xa186a220,0xb3009a29,0x68811c8a,0x09a98482,0x6dc137f6"
20,bit13_m916a56aa,41,20,134,101,33,"0x01000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000001,0x00000010,0x00000000,0x40100000,0x00000000,0x01000001,0x00000000,0x04000000","0x2505dcc0,0x508e2087,0xc44ad331,0xc008cdc6,0x9011d563,0x69e201a5,0x62952931,0x224c4e4e"
21,bit13_m916a56aa,41,20,117,104,13,"0x00000000,0x00000000,0x10000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x40000000,0x00040000,0x00000000,0x00000000,0x00010000","0x61318f83,0x5111de2d,0x428ab532,0xc3067459,0x5123aa20,0x3d53220c,0xa0662e3d,0x22b80124"
22,bit13_m916a56aa,41,20,140,101,39,"0x00000008,0x00000000,0x00000001,0x00000102,0x00000000,0x00000000,0x00000000,0x00000000,0x00400000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000","0xe279424a,0xb8430d71,0x18401b21,0x5800cd0f,0xb8404350,0x0376001f,0x9088933e,0xca3ec533"
23,bit13_m916a56aa,41,20,115,98,17,"0x00000000,0x04000000,0x00000000,0x00800404,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000","0x25e10522,0x02563891,0x892597dd,0x65580412,0xa2120294,0x3a0ca0d9,0xee975101,0x29a102b3"
24,bit13_m916a56aa,41,20,131,99,32,"0x00000000,0x10000000,0x00000800,0x00000080,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x01000040,0x00000000,0x00000020,0x00000001,0x00000000","0x60954ce2,0xd7d404e0,0xa0a18a22,0x60a1c976,0x130e8484,0xad300001,0x6fa97364,0xbc11c450"
25,bit13_m916a56aa,41,20,126,97,29,"0x00000000,0x00000000,0x08000000,0x00000000,0x00004000,0x00000000,0x00000000,0x00000000,0x00000008,0x00000011,0x00000000,0x00000000,0x02000000,0x00000000,0x00000000,0x02800010","0xb1115862,0x1d63166c,0x5806fc11,0x404c8649,0x5fc80646,0x7e473846,0x02634e04,0x402c3040"
26,bit13_m916a56aa,41,20,141,97,44,"0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000100,0x00000000,0x00040000,0x00000000,0x00000000,0x00000000,0x00000000,0x00800040,0x00000040,0x10000000,0x00008008","0xa4203e41,0x0b9bb8c0,0x1b42072b,0x19650cf0,0x109a0958,0x2938b605,0x2c459647,0x032a1441"
27,bit13_m916a56aa,41,20,124,103,21,"0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00001082,0x00000000,0x00000000,0x00000200","0xb02c022c,0x4e44ea75,0x6d600140,0x8b0c424c,0x5f2702ed,0x07411981,0x1f0d9fe0,0x011eb81b"
28,bit13_m916a56aa,42,20,135,101,34,"0x00000000,0x00800000,0x00000000,0x00000004,0x00000400,0x20200000,0x00000000,0x08804000,0x00000000,0x00000000,0x80000a08,0x00040000,0x00002000,0x00004000,0x00000000,0x01000000","0xf0804f65,0x872a5a84,0xcff98481,0x5268461a,0x41222363,0x69243d80,0x6230849c,0x505a8946"
29,bit13_m916a56aa,42,20,131,102,29,"0x00000000,0x00000000,0x00000000,0x02000000,0x00000000,0x00008000,0x00400000,0x00000000,0x00000000,0x00000000,0x00400000,0x00000000,0x40000000,0x00000020,0x08800000,0x00000200","0x982ace99,0x0b238028,0x9075300a,0x96278160,0xaf16d0f9,0x2d219902,0xd510c74a,0xc7911848"
30,bit13_m916a56aa,42,20,129,101,28,"0x00000000,0x00000000,0x00000000,0x00000000,0x00002000,0x00000000,0x00300200,0x08000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000004,0x00000000,0x00000010,0x50000100","0x32037842,0x0b468144,0x23606758,0x09230d1a,0xb20c6866,0x546f52cb,0xef20893c,0x1e201631"
31,bit13_m916a56aa,42,20,133,101,32,"0x00200000,0x00000040,0x00000010,0x00000004,0x00000000,0x00000000,0x00800000,0x00000004,0x08000000,0x84000000,0x00000140,0x00000000,0x00000000,0x00000000,0x00000000,0x08000000","0x41c4bc67,0x73d01674,0x23044d42,0x0d5b744c,0x7d081a04,0x029c9a04,0x10a41d91,0x0f7664c0"
