w57,w58,w59,w60,g1,g2,h
11,85,230,671,50,654,604
11,475,814,570,228,82,878
13,131,792,271,597,489,916
13,568,813,102,276,656,380
15,243,792,571,637,570,957
17,42,813,98,522,470,972
17,596,115,853,336,69,757
18,520,388,372,295,306,11
19,19,914,538,84,585,501
19,744,792,571,6,767,761
21,340,886,257,680,801,121
21,340,886,258,681,802,121
22,102,428,350,60,481,421
23,345,390,516,252,842,590
23,818,406,12,133,739,606
24,190,813,297,645,559,938
24,190,813,552,900,814,938
24,568,89,247,421,770,349
24,730,774,778,496,884,388
25,309,969,42,987,384,421
25,621,510,239,852,143,315
25,790,788,419,857,522,689
26,871,303,675,325,597,272
27,421,13,68,769,594,849
27,849,627,705,256,852,596
31,175,303,933,559,539,1004
31,729,138,658,296,917,621
32,167,813,557,310,855,545
32,167,813,563,316,861,545
35,229,307,328,1004,271,291
35,564,89,762,743,774,31
35,638,969,102,381,375,1018
37,501,204,679,621,111,514
39,590,773,236,262,31,793
41,42,53,325,749,896,147
41,367,822,259,860,949,89
41,495,656,617,208,795,587
42,29,310,993,762,69,331
42,665,939,73,728,58,354
43,765,14,662,1007,986,1003
44,491,89,933,332,394,62
45,810,315,395,903,934,31
45,887,315,407,315,901,586
47,233,303,917,376,516,140
48,233,813,227,710,1017,307
48,552,13,238,670,54,408
49,314,706,777,971,1019,48
49,823,510,609,522,663,141
50,240,455,831,945,482,561
50,381,886,761,52,808,756
50,692,534,40,43,804,761
53,179,89,656,731,782,51
53,795,24,175,916,239,347
59,541,315,900,741,478,761
60,97,914,551,373,68,719
60,995,969,912,736,641,929
61,618,53,425,894,562,692
62,43,249,325,765,285,544
64,452,886,953,84,541,457
64,563,89,676,801,395,618
64,654,400,27,56,595,539
65,110,321,506,87,846,759
65,520,577,930,853,177,348
66,780,53,792,879,276,421
68,330,813,337,279,199,944
69,29,577,930,699,947,248
69,592,905,903,450,340,914
69,758,598,208,122,423,301
72,537,886,953,602,83,505
72,967,168,563,710,380,694
76,384,814,617,955,569,638
76,495,13,667,258,407,149
77,963,637,59,398,92,718
78,272,153,144,750,626,900
78,590,939,774,800,513,737
78,621,822,790,379,16,661
79,171,914,357,815,518,727
79,417,792,382,251,649,398
80,37,315,729,368,673,305
80,510,886,953,302,514,212
81,541,89,518,359,240,905
81,541,89,550,391,272,905
83,477,886,221,39,685,646
83,773,230,856,96,54,982
83,871,604,823,473,336,887
83,929,969,738,535,604,69
85,824,598,208,362,861,499
86,160,716,102,991,258,291
86,864,301,632,394,768,374
88,575,13,97,415,379,988
90,691,716,102,217,588,371
91,752,177,348,422,633,211
92,344,178,184,928,995,67
92,344,178,616,336,403,67
98,562,604,395,472,786,314
99,324,577,995,136,535,399
99,837,301,593,846,210,388
100,366,89,633,258,690,432
100,999,230,590,222,524,302
101,573,455,667,1017,95,102
412,371,913,124,152,839,687
414,13,400,222,249,978,729
415,537,913,974,623,802,179
415,951,553,983,878,556,702
415,984,178,917,567,545,1002
416,112,813,537,665,546,905
418,544,400,254,45,12,991
419,511,303,200,557,814,257
419,658,813,30,638,259,645
419,658,813,591,175,820,645
419,658,813,992,576,197,645
421,607,836,700,520,19,523
423,156,914,41,864,932,68
425,85,840,973,352,204,876
425,85,840,1005,384,236,876
425,861,914,884,756,72,340
428,537,805,100,773,465,716
431,689,922,974,993,705,736
433,586,814,885,847,891,44
434,240,788,695,809,642,857
436,524,681,438,553,749,196
439,14,886,515,622,43,445
440,202,153,469,357,710,353
441,913,604,822,370,578,208
441,989,969,260,118,230,112
442,363,679,625,10,732,722
444,159,388,171,50,752,702
