m0,fill,hw56,dw61_C_hw,boomerang_hw,min_dg60,min_dh60,min_gh60,min_hw63,mean_hw63
0x015c3838,0xf0f0f0f0,107,17,12,6,7,18,102,128
0x2e05fe70,0xf0f0f0f0,110,14,16,7,7,18,97,127
