m0,fill,hw56,dw61_C_hw,boomerang_hw,min_dg60,min_dh60,min_gh60,min_hw63,mean_hw63
0x189b13c7,0x80000000,122,14,17,7,7,19,98,127
0x44b49bc3,0x80000000,106,18,13,6,7,17,94,128
