m0,fill,hw56,dw61_C_hw,boomerang_hw,min_dg60,min_dh60,min_gh60,min_hw63,mean_hw63
0x17149975,0xffffffff,104,16,9,6,5,16,96,127
0xa22dc6c7,0xffffffff,115,16,18,6,6,19,97,127
