m0,fill,hw56,dw61_C_hw,boomerang_hw,min_dg60,min_dh60,min_gh60,min_hw63,mean_hw63
0x01727cad,0x0f0f0f0f,123,16,17,7,7,18,99,128
0x23b8329b,0x0f0f0f0f,111,14,17,5,6,20,99,127
