Candidate: M[0]=0x34c
Cascade-Optimized DP at N=10
Search space: 2^40 = 1099511627776

  W1[57]=118: 1 local colls, 6 total [1794s]
  W1[57]=125: 1 local colls, 11 total [1799s]
  W1[57]=123: 2 local colls, 4 total [1807s]
  W1[57]=127: 0 local colls, 10 total [1815s]
  W1[57]=126: 1 local colls, 8 total [1815s]
  W1[57]=128: 0 local colls, 7 total [1828s]
  W1[57]=130: 3 local colls, 12 total [1842s]
  W1[57]=133: 2 local colls, 9 total [1847s]
  W1[57]=129: 1 local colls, 14 total [1849s]
  W1[57]=132: 1 local colls, 7 total [1852s]
  W1[57]=138: 0 local colls, 11 total [1854s]
  W1[57]=137: 1 local colls, 11 total [1857s]
  W1[57]=134: 0 local colls, 8 total [1858s]
  W1[57]=131: 1 local colls, 12 total [1859s]
  W1[57]=136: 0 local colls, 11 total [1860s]
  W1[57]=135: 0 local colls, 11 total [1861s]
  W1[57]=139: 1 local colls, 7 total [1867s]
  W1[57]=143: 0 local colls, 8 total [1871s]
  W1[57]=140: 0 local colls, 11 total [1878s]
  W1[57]=141: 0 local colls, 4 total [1885s]
  W1[57]=142: 2 local colls, 12 total [1889s]
  W1[57]=146: 1 local colls, 10 total [1895s]
  W1[57]=144: 0 local colls, 7 total [1899s]
  W1[57]=147: 2 local colls, 16 total [1920s]
  W1[57]=148: 0 local colls, 7 total [1922s]
  W1[57]=145: 0 local colls, 12 total [1922s]
  W1[57]=152: 4 local colls, 16 total [1926s]
  W1[57]=153: 1 local colls, 12 total [1929s]
  W1[57]=151: 2 local colls, 10 total [1930s]
  W1[57]=150: 2 local colls, 13 total [1933s]
  W1[57]=149: 0 local colls, 11 total [1934s]
  W1[57]=157: 0 local colls, 11 total [1940s]
  W1[57]=156: 0 local colls, 8 total [1940s]
  W1[57]=154: 3 local colls, 14 total [1941s]
  W1[57]=155: 1 local colls, 8 total [1945s]
  W1[57]=161: 1 local colls, 8 total [1950s]
  W1[57]=158: 3 local colls, 7 total [1959s]
  W1[57]=160: 1 local colls, 11 total [1966s]
  W1[57]=159: 2 local colls, 14 total [1966s]
  W1[57]=166: 0 local colls, 12 total [1988s]
  W1[57]=165: 3 local colls, 19 total [1990s]
  W1[57]=164: 0 local colls, 12 total [1994s]
  W1[57]=163: 1 local colls, 8 total [1994s]
  W1[57]=162: 2 local colls, 18 total [1995s]
  W1[57]=168: 1 local colls, 14 total [1997s]
  W1[57]=167: 2 local colls, 12 total [2005s]
  W1[57]=174: 2 local colls, 10 total [2005s]
  W1[57]=171: 2 local colls, 10 total [2006s]
  W1[57]=169: 0 local colls, 11 total [2006s]
  W1[57]=170: 0 local colls, 11 total [2010s]
  W1[57]=172: 0 local colls, 14 total [2013s]
  W1[57]=173: 1 local colls, 9 total [2019s]
  W1[57]=175: 1 local colls, 8 total [2025s]
  W1[57]=176: 0 local colls, 11 total [2034s]
  W1[57]=177: 0 local colls, 14 total [2041s]
  W1[57]=178: 1 local colls, 13 total [2051s]
  W1[57]=179: 1 local colls, 20 total [2066s]
  W1[57]=181: 0 local colls, 8 total [2066s]
  W1[57]=184: 0 local colls, 12 total [2068s]
  W1[57]=180: 0 local colls, 12 total [2068s]
  W1[57]=182: 0 local colls, 18 total [2070s]
  W1[57]=187: 1 local colls, 12 total [2072s]
  W1[57]=183: 0 local colls, 14 total [2073s]
  W1[57]=186: 0 local colls, 10 total [2077s]
  W1[57]=185: 1 local colls, 11 total [2077s]
  W1[57]=189: 2 local colls, 16 total [2077s]
  W1[57]=190: 1 local colls, 10 total [2082s]
  W1[57]=188: 1 local colls, 12 total [2085s]
  W1[57]=191: 1 local colls, 9 total [2095s]
  W1[57]=192: 1 local colls, 12 total [2105s]
  W1[57]=193: 0 local colls, 14 total [2105s]
  W1[57]=194: 0 local colls, 13 total [2124s]
  W1[57]=196: 0 local colls, 8 total [2130s]
  W1[57]=197: 0 local colls, 12 total [2134s]
  W1[57]=201: 0 local colls, 14 total [2134s]
  W1[57]=195: 0 local colls, 20 total [2134s]
  W1[57]=199: 2 local colls, 20 total [2139s]
  W1[57]=198: 0 local colls, 12 total [2139s]
  W1[57]=204: 1 local colls, 17 total [2140s]
  W1[57]=200: 1 local colls, 13 total [2144s]
  W1[57]=203: 1 local colls, 12 total [2154s]
  W1[57]=202: 1 local colls, 11 total [2156s]
  W1[57]=205: 1 local colls, 11 total [2159s]
  W1[57]=206: 1 local colls, 13 total [2162s]
  W1[57]=209: 0 local colls, 14 total [2169s]
