record,candidate_id,input_hw,rounds,start_hw,best_hw,improvement,best_m2,best_state_diff
1,bit13_m916a56aa,35,20,131,104,27,"0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000200,0x00000000,0x00000000,0x00400000,0x00000000,0x20000000,0x00000000,0x80000000,0x00000000,0x00004000","0x24354d01,0x98cf9460,0x00495dd7,0x49a44110,0x17605916,0xfac1321a,0xd2ddd806,0x302bc0c6"
2,bit13_m916a56aa,36,20,130,101,29,"0x00000008,0x00000000,0x00000000,0x00000000,0x00000000,0x00001000,0x00000200,0x00004000,0x00000040,0x00000000,0x40000000,0x00000000,0x00000000,0x00800000,0x00000000,0x00000000","0x0b1c2c20,0x5c24254e,0xfca6b00d,0x3f5d79c4,0x25610203,0x08ad29b0,0x32905f30,0x02130c0e"
3,bit13_m916a56aa,38,20,136,102,34,"0x00000000,0x00400000,0x40000000,0x00020000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00200000,0x00000000,0x00000000,0x00020400","0x035188ca,0x6ca19c11,0x66dce568,0x8d74b005,0x0f42ec21,0xd0078ff2,0x8418b880,0x410c08cd"
4,bit13_m916a56aa,38,20,123,100,23,"0x20040000,0x00000000,0x00000000,0x00000000,0x00000000,0x30000000,0x00000000,0x00000000,0x00100000,0x00200000,0x00000000,0x00000002,0x00000008,0x00000000,0x00000000,0x00001000","0x8f05a319,0xe015e2f9,0xb2023326,0x0a095e20,0xb448c0ec,0x87b02802,0x09d8340e,0x2a0e14da"
5,bit13_m916a56aa,41,20,117,102,15,"0x10000000,0x00000000,0x00000000,0x00000004,0x00000001,0x00000000,0x00000000,0x00000002,0x00000200,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x08000040","0xc7709d6d,0x8256cf0e,0x7c43a829,0x2201929f,0x00861542,0x4016c32b,0x106c6433,0x641cd101"
6,bit13_m916a56aa,41,20,119,99,20,"0x00000000,0x08000000,0x00000000,0x00080000,0x00000000,0x00000000,0x00000000,0x00000000,0x80000002,0x00000000,0x00000000,0x00000000,0x00300000,0x00000000,0x00000000,0x00000000","0x6d3100c1,0xd842b440,0x51062800,0xdafa22a0,0x8898e68f,0x8ca18c88,0x23002bfa,0x5f8c7a41"
7,bit13_m916a56aa,42,20,135,102,33,"0x04000000,0x00000400,0x00000000,0x00000000,0x00000000,0x00040000,0x20000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00010000,0x04000000,0x00000000,0x00000000,0x00000000","0xe590c920,0x1eb10a04,0xa009ab13,0x51f2f984,0x0e164619,0x8c89b39a,0x241a157a,0x1035282b"
8,bit13_m916a56aa,42,20,130,100,30,"0x00000000,0x00000000,0x00000000,0x10000000,0x00000000,0x00000000,0x00800001,0x00000000,0x00000000,0x81000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00080000,0x40000000","0x036a3698,0x298c4801,0x84a971dc,0x7d592440,0x81c1cc11,0x183fd9d0,0x93b01948,0x8ab43041"
