# Radius-1 size-5 neighbors of F248 bit19 basin mask {0,7,9,12,14}.
# Ground set is W[0..15]. There are 55 unique one-word swaps.
0,1,7,9,12
0,1,7,9,14
0,1,7,12,14
0,1,9,12,14
0,2,7,9,12
0,2,7,9,14
0,2,7,12,14
0,2,9,12,14
0,3,7,9,12
0,3,7,9,14
0,3,7,12,14
0,3,9,12,14
0,4,7,9,12
0,4,7,9,14
0,4,7,12,14
0,4,9,12,14
0,5,7,9,12
0,5,7,9,14
0,5,7,12,14
0,5,9,12,14
0,6,7,9,12
0,6,7,9,14
0,6,7,12,14
0,6,9,12,14
0,7,8,9,12
0,7,8,9,14
0,7,8,12,14
0,7,9,10,12
0,7,9,10,14
0,7,9,11,12
0,7,9,11,14
0,7,9,12,13
0,7,9,12,15
0,7,9,13,14
0,7,9,14,15
0,7,10,12,14
0,7,11,12,14
0,7,12,13,14
0,7,12,14,15
0,8,9,12,14
0,9,10,12,14
0,9,11,12,14
0,9,12,13,14
0,9,12,14,15
1,7,9,12,14
2,7,9,12,14
3,7,9,12,14
4,7,9,12,14
5,7,9,12,14
6,7,9,12,14
7,8,9,12,14
7,9,10,12,14
7,9,11,12,14
7,9,12,13,14
7,9,12,14,15
