record,candidate_id,input_hw,rounds,start_hw,best_hw,improvement,best_m2,best_state_diff
1,bit13_m916a56aa,35,12,134,87,47,"0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00005000,0x00000000,0x00000001,0x02000500,0x10804000,0xa804af2c,0x544fe850,0xb67dd2e4,0x126d393e,0x29f39ee8","0x08324504,0x801a71e0,0x19896212,0x80c02c37,0x41206008,0x95240307,0x0c08ef66,0xc7d6c448"
2,bit13_m916a56aa,36,12,135,94,41,"0x00000000,0x00000000,0x00000000,0x20000400,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000004,0x10900000,0x08010b81,0x2c444004,0xb94d211f,0x59183fe8,0x96ad6964","0x0002040b,0x800f1b0e,0x48a58712,0xb844f90d,0x48d00482,0x18365405,0x5693005a,0xbafe621d"
3,bit13_m916a56aa,38,12,129,79,50,"0x00000000,0x02000000,0x00008000,0x00000000,0x00000002,0x00000000,0x00000000,0x00000000,0x00000000,0x00040000,0x01100000,0x8c287488,0x9a91684a,0xfda31ee1,0x3af05a0a,0x00c0efd1","0x00206404,0x00811048,0xe8905091,0x1d284566,0x12000081,0x8312c618,0x72b8e0dd,0x411eea48"
4,bit13_m916a56aa,38,12,122,85,37,"0x00000000,0x00100000,0x00000000,0x00000000,0x00000000,0x00000000,0x10000000,0x00000000,0x00000000,0x00000000,0x00181302,0x04fc3c5e,0x8f8d0d62,0x6cf61550,0x2484679c,0x2f0e5065","0x80201120,0x0137da02,0xb781ab13,0x0d0c800f,0x14084088,0x60404401,0x70f4a716,0x80be4347"
5,bit13_m916a56aa,39,12,130,94,36,"0x00200000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00100000,0x00000000,0x00000060,0x00000000,0x04080000,0x1ae34388,0xacda7786,0x4d0d387a,0x35eac2d8,0xdf5dc311","0x31004422,0x9c6b6853,0xe07d7288,0x8831bd64,0x00c10085,0x72e81438,0x1c2416e4,0xc343c012"
6,bit13_m916a56aa,39,12,148,89,59,"0x10000000,0x00000000,0x00000000,0x00000002,0x40000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x80008040,0x2a391800,0x5b494e9c,0x54e87f9c,0x52888c57,0x5b801004","0x00d00880,0x5840c01b,0x9b257901,0x8e327a49,0x64020144,0xc42b1247,0x8d28124c,0xba20d323"
7,bit13_m916a56aa,40,12,136,101,35,"0x00000000,0x00000000,0x00000000,0x00000000,0x20000000,0x00000000,0x00810000,0x00000000,0x00000000,0x00000000,0x00800000,0x0f224500,0xdd8abdb1,0xad6898fb,0xc5ee13aa,0x655de66b","0x10028101,0x912d4729,0x5307b914,0x80cb4d79,0x00c8504b,0x84f38394,0x014c2c73,0xb391f7c8"
8,bit13_m916a56aa,40,12,130,85,45,"0x00000000,0x00000000,0x01000000,0x00000000,0x00000000,0x00040000,0x00000000,0x00200000,0x02000000,0x00008000,0x80000031,0x8a8040c1,0x2656dd5b,0xa135799b,0x879eb812,0xc1ed9539","0x020a0101,0x8500460d,0x26bd4823,0xca60dca1,0x58a08842,0x88cd8a46,0x0180843a,0xa445ec21"
9,bit13_m916a56aa,40,12,120,87,33,"0x00000000,0x00024080,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000002,0x00002000,0x00000482,0x42101b29,0xf0a334e1,0x4281d8ba,0x697b3a9e,0xe15a6a31","0x00504b28,0x29980788,0xf540369b,0x0740713a,0x42240002,0x00d102aa,0x3dc248f0,0x0f25841c"
10,bit13_m916a56aa,40,12,130,84,46,"0x00000000,0x04100000,0x00000000,0x00000000,0x00000000,0x00000004,0x00000000,0x00000000,0x00000000,0x00014480,0xa0004d04,0x9841a3af,0x9faccf90,0xf6abf49a,0xaa855e5c,0x8232c2e4","0x0442168b,0xa48008c2,0x2e0c6125,0x1ba800c0,0x03048404,0x2f215500,0xf44052f9,0x003bb741"
11,bit13_m916a56aa,40,12,124,90,34,"0x00400000,0x00010000,0x00800000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000080,0x00010000,0x802a0000,0x4d2cb024,0xab9e6b7b,0x8ebaec89,0xb7e2c089,0x98af83fd","0x24426014,0xaf8a38a4,0x0381818b,0x8c07a665,0x40200800,0x50b4458c,0xf40eb81d,0x9438c1b0"
12,bit13_m916a56aa,40,12,128,81,47,"0x00000000,0x00040000,0x00000000,0x00004000,0x00000000,0x00000000,0x00000000,0x24000000,0x00000000,0x00020000,0x04100002,0x82895ed1,0x6103dc8e,0x6d0d7968,0xc99d3a7c,0x77cfe762","0xa0088013,0xb42aa882,0x84150402,0x7bad80b9,0x10800504,0x306ef408,0xcc50261e,0x30182120"
13,bit13_m916a56aa,40,12,132,82,50,"0x00000000,0x20010000,0x00000001,0x00800000,0x00000000,0x00000000,0x00000000,0x00100000,0x00002000,0x00600810,0x00400206,0xec256dc5,0xb78a634c,0xd86493d0,0x20009be0,0xa73c9a40","0x00084008,0x02303c81,0x31947e9e,0xea303208,0x01c10122,0x480122a8,0x74264608,0x075381fd"
14,bit13_m916a56aa,41,12,124,91,33,"0x00008000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x20000000,0xab2a5957,0xb078814c,0x426829f3,0xd481a807,0x94923888","0x0402220a,0x00b07104,0x6ca46c68,0x67cc8b27,0x60a08480,0x74082025,0x6d20c94f,0x89dbc216"
15,bit13_m916a56aa,41,12,141,88,53,"0x00000000,0x00000000,0x00000001,0x00000000,0x00001000,0x00000000,0x00000000,0x00000000,0x00400800,0x00000010,0x02000000,0x42492e01,0x1ff536c9,0x0e4f1a1a,0x37823aa2,0xe1ba4da2","0x01552008,0xe088a4d8,0x0224bcb4,0x0ab68240,0x48080082,0xa70e54a0,0x0368f1da,0x60aded40"
16,bit13_m916a56aa,41,12,124,88,36,"0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x20000202,0x00000000,0x00004400,0x040000c0,0x00100000,0x00020040,0x1992e100,0xffc3f0b2,0x1a1ef745,0xa5e87f07,0xda25fcc7","0x02009480,0x0093241d,0x664c9b3c,0x16a8e205,0x020044c2,0x2824dc8e,0x95d9092d,0x12a68984"
17,bit13_m916a56aa,41,12,120,96,24,"0x00000000,0x00000000,0x00000000,0x00000008,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x06008000,0x00086a02,0x025e06fa,0x0b508ce1,0x6307a0fd,0x4412bea8","0x5d111200,0x3cc54b71,0x61f100b9,0x15153373,0x0204040a,0x304a4ce1,0xae0b1068,0xc1f10e15"
18,bit13_m916a56aa,41,12,131,82,49,"0x00000000,0x00000000,0x01000000,0x00000000,0x00000000,0x00000000,0x00000008,0x00000000,0x00008000,0x100000a0,0x24001600,0xa2920f16,0x498e07b8,0x4cafa67c,0x107f2dcf,0xa8d0c59c","0x24100c03,0xc80662c0,0x52772800,0xea068390,0x08228040,0x003a1225,0x09b01949,0xb25f6c91"
19,bit13_m916a56aa,41,12,118,83,35,"0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00402000,0x00000000,0x00000108,0x00080080,0x00082070,0x1c0ab665,0x4fcf85f2,0xd38e2af6,0x7b30647a,0xfd5e9acc","0x00000422,0x6d422184,0xc2e36a29,0x12a22d7c,0x000a1080,0x09918942,0x788841fd,0x4c052896"
