# Radius-1 size-5 neighbors of bit3's absorber mask {0,1,2,8,9}.
# Ground set is W[0..15]. There are 55 unique one-word swaps, not 60:
# each of the 5 removed words can be replaced by one of 11 non-base words.
0,1,2,3,8
0,1,2,3,9
0,1,2,4,8
0,1,2,4,9
0,1,2,5,8
0,1,2,5,9
0,1,2,6,8
0,1,2,6,9
0,1,2,7,8
0,1,2,7,9
0,1,2,8,10
0,1,2,8,11
0,1,2,8,12
0,1,2,8,13
0,1,2,8,14
0,1,2,8,15
0,1,2,9,10
0,1,2,9,11
0,1,2,9,12
0,1,2,9,13
0,1,2,9,14
0,1,2,9,15
0,1,3,8,9
0,1,4,8,9
0,1,5,8,9
0,1,6,8,9
0,1,7,8,9
0,1,8,9,10
0,1,8,9,11
0,1,8,9,12
0,1,8,9,13
0,1,8,9,14
0,1,8,9,15
0,2,3,8,9
0,2,4,8,9
0,2,5,8,9
0,2,6,8,9
0,2,7,8,9
0,2,8,9,10
0,2,8,9,11
0,2,8,9,12
0,2,8,9,13
0,2,8,9,14
0,2,8,9,15
1,2,3,8,9
1,2,4,8,9
1,2,5,8,9
1,2,6,8,9
1,2,7,8,9
1,2,8,9,10
1,2,8,9,11
1,2,8,9,12
1,2,8,9,13
1,2,8,9,14
1,2,8,9,15
